,Team,Player,Games,Kicks,Handballs,Disposals,Contested Possessions,Metres Gained,Marks,Tackles,Hitouts,Fantasy,Goals,Behinds,Score,Year
0,Western Bulldogs,Aasta O'Connor,8,40,23,63,23,926,21,16,82,369,2,0,12,2018.0
1,Adelaide,Abbey Holmes,3,8,4,12,7,81,2,6,0,69,1,0,6,2018.0
2,GWS Giants,Aimee Schmidt,5,20,2,22,11,425,1,9,0,118,3,3,21,2018.0
3,Western Bulldogs,Aisling Utri,7,43,22,65,31,874,14,7,0,261,3,4,22,2018.0
4,Fremantle,Alex Williams,7,26,16,42,20,470,9,10,0,174,0,0,0,2018.0
5,GWS Giants,Alicia Eva,7,96,29,125,50,1824,10,52,0,574,1,1,7,2018.0
6,Fremantle,Alicia Janz,7,6,23,29,21,145,2,20,81,222,0,0,0,2018.0
7,Melbourne,Aliesha Newman,7,36,13,49,26,782,10,15,0,224,3,3,21,2018.0
8,Carlton,Alison Downie,7,24,22,46,23,677,15,11,45,268,3,0,18,2018.0
9,Brisbane,Ally Anderson,8,90,53,143,64,1442,22,40,0,606,1,0,6,2018.0
10,Melbourne,Alyssa Mifsud,2,5,6,11,6,127,1,2,0,46,1,1,7,2018.0
11,GWS Giants,Amanda Farrugia,7,60,29,89,48,997,13,36,0,427,2,1,13,2018.0
12,Collingwood,Amelia Mullane,7,39,34,73,48,927,7,47,0,391,3,4,22,2018.0
13,Fremantle,Amy Lavell,7,26,14,40,23,442,10,8,1,201,6,2,38,2018.0
14,Adelaide,Angela Foley,6,69,11,80,39,1547,18,21,0,363,0,0,0,2018.0
15,Western Bulldogs,Angelica Gogos,8,34,44,78,50,671,7,50,0,398,0,0,0,2018.0
16,Melbourne,Anna Teague,4,11,12,23,9,215,5,4,0,83,0,0,0,2018.0
17,Adelaide,Anne Hatchard,4,14,16,30,18,328,4,9,1,121,1,0,6,2018.0
18,Brisbane,Arianna Clarke,8,27,22,49,27,565,6,14,0,187,0,0,0,2018.0
19,Fremantle,Ashlee Atkins,7,40,7,47,27,908,10,22,4,268,3,4,22,2018.0
20,Collingwood,Ashleigh Brazill,2,15,7,22,11,456,5,5,0,91,0,0,0,2018.0
21,Melbourne,Ashleigh Guest,7,29,20,49,24,739,7,20,0,224,0,0,0,2018.0
22,Fremantle,Ashley Sharp,5,22,13,35,18,579,6,6,0,140,2,2,14,2018.0
