,Team,Player,Games,Kicks,Handballs,Disposals,Contested Possessions,Metres Gained,Marks,Tackles,Hitouts,Fantasy,Goals,Behinds,Score,Year
23,Western Bulldogs,Bailey Hunt,6,19,8,27,11,276,6,6,0,115,0,0,0,2018.0
24,Fremantle,Belinda Smith,5,26,19,45,23,379,11,16,0,213,0,0,0,2018.0
25,Brisbane,Bella Ayre,6,10,12,22,14,142,8,8,0,107,0,2,2,2018.0
26,Melbourne,Bianca Jakobsson,6,41,34,75,39,652,24,19,0,329,0,0,0,2018.0
27,Western Bulldogs,Bonnie Toogood,8,44,20,64,35,639,19,14,4,324,5,2,32,2018.0
28,Carlton,Breann Moody,7,33,20,53,34,891,7,11,147,338,0,0,0,2018.0
29,Brisbane,Breanna Koenen,8,57,32,89,40,1025,26,14,0,370,0,0,0,2018.0
30,Collingwood,Bree White,4,18,16,34,12,190,10,12,0,159,0,0,0,2018.0
31,Carlton,Brianna Davey,2,20,12,32,16,369,6,8,0,130,0,0,0,2018.0
32,Fremantle,Brianna Green,1,5,2,7,3,102,0,9,0,54,0,0,0,2018.0
33,Carlton,Bridie Kennedy,4,11,5,16,6,141,6,4,0,68,0,0,0,2018.0
34,GWS Giants,Britt Tully,7,54,15,69,52,995,7,36,0,367,1,0,6,2018.0
35,Collingwood,Brittany Bonnici,7,45,33,78,36,648,14,24,0,322,1,0,6,2018.0
36,Brisbane,Brittany Gibson,8,59,31,90,46,1978,17,20,0,370,3,2,20,2018.0
37,Western Bulldogs,Brooke Lochland,8,74,22,96,42,1221,34,25,0,527,12,6,78,2018.0
38,Melbourne,Brooke Patterson,5,24,9,33,14,479,7,5,1,132,0,0,0,2018.0
39,Collingwood,Caitlyn Edwards,7,48,34,82,48,1074,16,34,0,408,4,1,25,2018.0
40,Fremantle,Cassie Davidson,7,46,17,63,28,519,12,18,0,257,0,0,0,2018.0
41,Melbourne,Cat Phillips,6,16,30,46,25,555,6,12,0,159,0,1,1,2018.0
42,Collingwood,Cecilia McIntosh,7,31,28,59,26,552,11,19,0,249,0,0,0,2018.0
43,Adelaide,Chelsea Randall,7,85,29,114,72,1855,22,34,0,533,1,0,6,2018.0
44,Collingwood,Chloe Molloy,7,82,19,101,43,1468,25,16,0,420,1,2,8,2018.0
45,Collingwood,Christina Bernardi,7,67,13,80,40,1462,30,15,0,409,9,4,58,2018.0
46,Melbourne,Claudia Whitfort,3,14,5,19,10,455,4,3,0,78,0,1,1,2018.0
47,GWS Giants,Cora Staunton,7,39,18,57,36,724,13,14,0,257,5,8,38,2018.0
48,Adelaide,Courtney Cramey,4,36,3,39,20,996,10,9,0,181,1,1,7,2018.0
49,GWS Giants,Courtney Gum,7,64,39,103,79,1257,13,34,0,458,5,1,31,2018.0
50,Carlton,Courtney Webb,2,7,3,10,5,146,2,4,0,50,0,1,1,2018.0
51,Melbourne,Daisy Pearce,7,89,38,127,74,1610,11,37,0,527,2,1,13,2018.0
52,Fremantle,Dana Hooker,7,86,37,123,80,2037,11,33,0,522,5,1,31,2018.0
53,Carlton,Danielle Hardiman,6,37,12,49,22,803,12,16,0,236,0,0,0,2018.0
54,Carlton,Darcy Vescio,7,38,9,47,39,865,5,17,0,246,5,6,36,2018.0
55,Western Bulldogs,Daria Bannister,1,4,1,5,1,100,3,2,0,31,0,0,0,2018.0
56,Adelaide,Dayna Cox,6,39,17,56,32,574,12,16,0,244,0,1,1,2018.0
57,Western Bulldogs,Deanna Berry,6,21,6,27,14,515,6,8,0,125,2,1,13,2018.0
58,Adelaide,Deni Varnhagen,7,49,20,69,42,1131,13,10,0,232,0,0,0,2018.0
59,Fremantle,Ebony Antonio,7,54,40,94,44,1193,15,31,3,432,3,0,18,2018.0
60,Adelaide,Ebony Marinoff,7,81,28,109,64,1491,14,82,1,656,0,2,2,2018.0
61,Melbourne,Eden Zanker,3,8,5,13,12,219,3,7,5,65,0,2,2,2018.0
62,Melbourne,Elise O'Dea,7,89,34,123,47,2306,26,39,0,577,4,2,26,2018.0
63,Collingwood,Eliza Hynes,2,4,6,10,5,50,1,1,21,50,0,0,0,2018.0
64,GWS Giants,Elle Bennetts,7,43,26,69,29,843,17,23,0,315,0,1,1,2018.0
65,Western Bulldogs,Ellie Blackburn,8,102,33,135,60,2106,23,26,0,570,3,6,24,2018.0
66,GWS Giants,Ellie Brush,7,30,29,59,40,511,7,14,0,214,0,0,0,2018.0
67,Adelaide,Eloise Jones,7,37,12,49,25,840,5,17,0,215,3,0,18,2018.0
68,Brisbane,Emily Bates,8,73,66,139,73,1558,18,37,0,536,0,0,0,2018.0
69,Fremantle,Emily McGuire,3,7,4,11,8,63,2,6,1,64,2,1,13,2018.0
70,Collingwood,Emma Grant,7,43,19,62,20,633,17,18,0,276,0,0,0,2018.0
71,Melbourne,Emma Humphries,3,10,11,21,15,239,4,5,0,82,0,0,0,2018.0
72,Western Bulldogs,Emma Kearney,8,123,29,152,77,2981,27,41,0,701,3,5,23,2018.0
73,Collingwood,Emma King,7,49,7,56,24,819,15,14,125,377,1,2,8,2018.0
74,Western Bulldogs,Emma Mackie,3,5,11,16,9,77,2,5,0,63,0,1,1,2018.0
75,Brisbane,Emma Pittman,4,11,8,19,10,223,4,4,0,70,0,0,0,2018.0
76,GWS Giants,Emma Swanson,6,46,12,58,28,935,7,13,0,228,0,0,0,2018.0
77,Brisbane,Emma Zielke,8,64,34,98,44,1008,24,29,0,448,0,1,1,2018.0
78,Melbourne,Erin Hoare,4,7,11,18,10,154,4,10,66,159,0,0,0,2018.0
79,GWS Giants,Erin McKinnon,7,10,25,35,25,240,4,13,173,309,0,0,0,2018.0
80,Adelaide,Erin Phillips,5,46,14,60,42,592,8,11,0,276,7,3,45,2018.0
81,Fremantle,Evangeline Gooch,7,36,20,56,25,693,10,22,0,261,0,0,0,2018.0
82,Brisbane,Gabby Collingwood,4,3,5,8,3,34,2,5,0,45,0,0,0,2018.0
83,Fremantle,Gabby O'Sullivan,7,42,16,58,28,766,5,28,0,274,1,3,9,2018.0
84,Carlton,Gabriella Pound,7,42,13,55,32,1022,7,13,0,208,0,0,0,2018.0
85,Fremantle,Gemma Houghton,2,4,0,4,1,38,3,4,2,37,0,0,0,2018.0
86,Adelaide,Georgia Bevan,5,18,11,29,17,296,2,16,0,150,0,0,0,2018.0
87,Carlton,Georgia Gee,6,28,6,34,24,645,3,15,0,174,1,2,8,2018.0
88,Collingwood,Georgie Parker,2,4,7,11,7,47,1,3,0,41,0,0,0,2018.0
89,Western Bulldogs,Hannah Scott,8,63,21,84,33,1483,14,27,0,374,1,0,6,2018.0
90,Melbourne,Harriet Cordner,4,21,11,32,20,551,7,13,7,162,0,0,0,2018.0
91,Fremantle,Hayley Miller,7,66,24,90,61,1549,14,26,0,396,1,1,7,2018.0
92,Western Bulldogs,Hayley Wildes,7,36,10,46,14,843,13,11,0,210,0,1,1,2018.0
93,Collingwood,Holly Whitford,3,8,4,12,5,111,4,10,0,72,0,0,0,2018.0
94,Collingwood,Iilish Ross,5,21,10,31,16,395,7,14,0,152,0,0,0,2018.0
95,Western Bulldogs,Isabel Huntington,2,11,3,14,9,130,8,2,1,81,2,0,12,2018.0
96,GWS Giants,Jacinda Barclay,7,41,31,72,49,634,23,20,0,360,4,3,27,2018.0
97,Fremantle,Jade de Melo,2,6,2,8,4,121,2,2,0,31,0,0,0,2018.0
98,Collingwood,Jaimee Lambert,7,75,29,104,45,1365,19,30,0,444,1,1,7,2018.0
99,Brisbane,Jamie Stanton,8,96,37,133,57,2086,21,25,0,517,0,1,1,2018.0
100,Collingwood,Jasmine Garner,7,67,20,87,40,1245,29,32,2,492,5,3,33,2018.0
101,Melbourne,Jasmine Grierson,6,29,15,44,25,417,8,16,0,208,0,2,2,2018.0
102,Adelaide,Jasmyn Hewett,7,22,10,32,20,393,5,13,19,156,2,0,12,2018.0
103,Western Bulldogs,Jenna Bruton,8,52,39,91,48,978,21,37,0,463,3,2,20,2018.0
104,Adelaide,Jenna McCormick,6,31,6,37,15,539,10,15,0,220,5,7,37,2018.0
105,Collingwood,Jess Duffin,6,72,9,81,23,1551,28,11,0,364,1,0,6,2018.0
106,Carlton,Jess Hosking,6,32,20,52,29,592,5,22,0,244,0,3,3,2018.0
107,Brisbane,Jess Wuetschner,8,61,16,77,33,1367,19,23,0,434,13,6,84,2018.0
108,Adelaide,Jessica Allan,4,9,5,14,7,108,3,3,21,78,0,1,1,2018.0
109,Western Bulldogs,Jessica Anderson,1,0,0,0,0,0,0,0,0,-3,0,0,0,2018.0
110,GWS Giants,Jessica Dal Pos,7,52,25,77,35,793,10,36,0,374,1,0,6,2018.0
111,Adelaide,Jessica Sedunary,7,39,7,46,23,596,8,18,0,206,2,0,12,2018.0
112,GWS Giants,Jodie Hicks,6,16,16,32,18,307,5,18,0,170,1,1,7,2018.0
113,Fremantle,Jodie White,4,8,10,18,8,164,2,5,28,99,0,0,0,2018.0
114,Brisbane,Jordan Zanchetta,5,23,13,36,22,328,6,15,0,171,0,0,0,2018.0
115,Adelaide,Justine Mules,7,46,23,69,44,925,5,31,0,313,0,1,1,2018.0
116,Brisbane,Kaitlyn Ashmore,8,54,28,82,40,1034,24,28,0,417,3,5,23,2018.0
117,Fremantle,Kara Antonio,7,76,29,105,55,1513,14,54,0,523,1,0,6,2018.0
118,Melbourne,Karen Paxman,7,87,37,124,56,1666,16,21,0,475,2,3,15,2018.0
119,Carlton,Kate Gillespie-Jones,6,25,25,50,28,802,5,12,2,189,0,2,2,2018.0
120,Melbourne,Kate Hore,7,43,36,79,41,636,22,20,0,394,6,4,40,2018.0
121,Brisbane,Kate Lutkins,8,105,37,142,60,2533,31,26,0,597,1,0,6,2018.0
122,Brisbane,Kate McCarthy,8,37,9,46,13,1158,14,13,0,224,1,2,8,2018.0
123,Carlton,Kate Shierlaw,4,4,2,6,4,103,0,3,7,34,1,0,6,2018.0
124,Melbourne,Katherine Smith,7,45,23,68,36,1058,7,30,0,304,1,1,7,2018.0
125,Western Bulldogs,Katie Brennan,4,33,6,39,15,414,16,9,2,212,6,2,38,2018.0
126,Carlton,Katie Loynes,6,45,15,60,34,1168,11,37,0,352,2,4,16,2018.0
127,Carlton,Katie-Jayne Grieve,2,5,2,7,6,95,1,3,1,27,0,1,1,2018.0
128,Fremantle,Kellie Gibson,1,9,2,11,9,206,1,1,0,44,1,1,7,2018.0
129,Carlton,Kerryn Harrington,7,34,20,54,28,857,15,24,0,269,0,0,0,2018.0
130,Western Bulldogs,Kim Rennie,5,11,8,19,9,244,4,13,51,167,0,0,0,2018.0
131,Western Bulldogs,Kirsten McLeod,4,14,3,17,9,318,5,10,0,116,3,1,19,2018.0
132,Western Bulldogs,Kirsty Lamb,8,75,27,102,55,1504,16,43,0,493,0,2,2,2018.0
133,Collingwood,Kristy Stratton,2,7,2,9,8,158,1,4,0,40,0,0,0,2018.0
134,Fremantle,Lara Filocamo,7,61,30,91,43,825,11,21,0,358,1,0,6,2018.0
135,Carlton,Laura Attard,1,3,2,5,2,28,1,3,0,25,0,0,0,2018.0
136,Western Bulldogs,Laura Bailey,2,4,1,5,5,173,1,4,0,33,0,1,1,2018.0
137,Melbourne,Laura Duryea,4,23,3,26,12,326,4,5,0,96,0,0,0,2018.0
138,Carlton,Lauren Arnell,4,21,6,27,10,409,7,10,0,147,2,1,13,2018.0
139,Carlton,Lauren Brazzale,5,25,6,31,13,737,3,11,0,137,0,3,3,2018.0
140,Melbourne,Lauren Pearce,6,24,32,56,31,449,8,17,73,311,1,2,8,2018.0
141,Western Bulldogs,Lauren Spark,8,39,21,60,29,431,16,6,1,227,0,1,1,2018.0
142,Collingwood,Lauren Tesoriero,6,22,23,45,27,457,13,16,0,216,1,1,7,2018.0
143,Brisbane,Leah Kaslar,8,22,38,60,44,488,6,28,1,271,0,0,0,2018.0
144,Fremantle,Leah Mascall,7,17,10,27,21,353,3,16,0,139,0,0,0,2018.0
145,Western Bulldogs,Libby Birch,8,36,16,52,29,702,10,29,0,269,0,0,0,2018.0
146,Melbourne,Lily Mithen,7,41,49,90,39,683,12,15,0,318,0,0,0,2018.0
147,Fremantle,Lisa Webb,6,68,19,87,28,1232,19,18,0,384,2,2,14,2018.0
148,GWS Giants,Louise Stephenson,2,5,1,6,1,60,1,3,0,20,0,0,0,2018.0
149,Carlton,Maddison Gay,7,44,22,66,39,1231,9,23,0,285,1,2,8,2018.0
150,GWS Giants,Maddy Collier,4,16,7,23,15,425,3,13,0,120,0,0,0,2018.0
151,Melbourne,Maddy Guerin,1,4,1,5,4,65,0,1,0,16,0,0,0,2018.0
152,GWS Giants,Madeleine Boyd,2,8,3,11,7,183,7,3,7,62,0,0,0,2018.0
153,Carlton,Madeline Keryk,2,15,4,19,4,318,3,4,0,72,0,0,0,2018.0
154,Adelaide,Marijana Rajcic,5,32,16,48,21,634,9,7,0,188,1,2,8,2018.0
155,Melbourne,Meg Downie,6,39,26,65,42,756,16,17,0,271,0,0,0,2018.0
156,Collingwood,Meg Hutchins,5,22,9,31,13,528,8,5,23,156,3,1,19,2018.0
157,Brisbane,Megan Hunt,4,14,11,25,12,166,5,12,0,126,0,0,0,2018.0
158,Fremantle,Melissa Caulfield,7,28,25,53,37,615,8,14,0,225,3,0,18,2018.0
159,Melbourne,Melissa Hickey,6,29,30,59,34,536,11,24,0,263,1,0,6,2018.0
160,Collingwood,Melissa Kuys,7,50,15,65,26,877,19,14,0,308,2,1,13,2018.0
161,Collingwood,Moana Hope,6,41,11,52,24,817,17,5,0,255,8,5,53,2018.0
162,Western Bulldogs,Monique Conti,8,71,39,110,66,1296,23,14,0,422,3,3,21,2018.0
163,Western Bulldogs,Naomi Ferres,8,35,24,59,29,643,11,18,0,246,0,0,0,2018.0
164,Brisbane,Nat Exon,7,40,25,65,35,731,16,44,1,387,2,1,13,2018.0
165,Carlton,Natalie Plane,2,8,0,8,4,262,4,2,0,41,0,0,0,2018.0
166,GWS Giants,Nicola Barr,7,48,23,71,21,998,12,22,0,293,0,0,0,2018.0
167,Carlton,Nicola Stevens,7,41,16,57,36,922,11,23,0,260,1,2,8,2018.0
168,Western Bulldogs,Nicole Callinan,8,44,12,56,20,867,16,17,0,269,1,0,6,2018.0
169,Brisbane,Nicole Hildebrand,5,22,10,32,20,438,8,6,0,130,0,0,0,2018.0
170,GWS Giants,Pepa Randall,7,30,16,46,20,743,6,9,0,161,0,0,0,2018.0
171,GWS Giants,Philippa Smyth,1,1,4,5,5,0,0,2,5,21,0,0,0,2018.0
172,GWS Giants,Phoebe McWilliams,7,31,23,54,39,427,16,16,1,292,7,3,45,2018.0
173,GWS Giants,Phoebe Monahan,6,38,9,47,16,951,4,17,0,198,0,0,0,2018.0
174,Adelaide,Rachael Killian,2,4,2,6,3,-2,0,3,0,26,0,1,1,2018.0
175,GWS Giants,Rebecca Beeson,7,52,25,77,36,866,13,16,0,315,2,1,13,2018.0
176,GWS Giants,Rebecca Privitelli,1,1,3,4,1,26,3,3,0,27,0,0,0,2018.0
177,GWS Giants,Renee Forth,5,16,12,28,21,363,6,10,0,110,0,2,2,2018.0
178,GWS Giants,Renee Tomkins,4,8,8,16,12,245,1,4,19,70,0,0,0,2018.0
179,Carlton,Reni Hicks,4,12,5,17,9,125,3,6,0,74,0,0,0,2018.0
180,Adelaide,Rheanne Lugg,6,27,7,34,9,350,17,7,0,157,0,0,0,2018.0
181,Adelaide,Rhiannon Metcalfe,7,30,11,41,25,696,2,15,117,292,0,0,0,2018.0
182,Melbourne,Richelle Cranston,7,51,19,70,38,1156,17,26,9,377,5,4,34,2018.0
183,Collingwood,Ruby Schleicher,5,14,6,20,10,305,6,9,0,97,0,0,0,2018.0
184,Adelaide,Ruth Wallace,7,47,15,62,37,1038,14,15,0,302,7,2,44,2018.0
185,Brisbane,Sabrina Frederick,8,65,26,91,60,1178,29,21,27,488,8,7,55,2018.0
186,Adelaide,Sally Riley,2,5,4,9,5,90,0,9,0,61,0,0,0,2018.0
187,Adelaide,Sarah Allan,7,51,12,63,33,1205,8,14,3,258,0,0,0,2018.0
188,Collingwood,Sarah D'Arcy,5,28,15,43,22,416,15,12,0,206,0,0,0,2018.0
189,Collingwood,Sarah Dargan,3,3,6,9,8,24,1,3,0,22,0,0,0,2018.0
190,Carlton,Sarah Hosking,7,45,39,84,44,1173,12,40,0,399,0,1,1,2018.0
191,Melbourne,Sarah Lampard,1,0,2,2,1,1,0,0,0,4,0,0,0,2018.0
192,Carlton,Sarah Last,2,6,6,12,8,31,2,2,0,45,0,0,0,2018.0
193,Adelaide,Sarah Perkins,7,23,9,32,16,518,4,15,4,171,1,4,10,2018.0
194,Carlton,Shae Audley,7,33,18,51,25,525,8,43,0,324,0,1,1,2018.0
195,Brisbane,Shannon Campbell,7,41,5,46,11,872,15,14,0,232,0,0,0,2018.0
196,Brisbane,Sharni Webb,8,30,28,58,34,800,8,17,37,278,1,2,8,2018.0
197,Melbourne,Shelley Scott,7,46,33,79,48,1009,21,32,0,415,3,4,22,2018.0
198,Adelaide,Sophie Armitstead,3,13,8,21,15,240,3,1,0,66,0,0,0,2018.0
199,Collingwood,Sophie Casey,3,9,5,14,11,138,0,8,0,65,0,0,0,2018.0
200,Brisbane,Sophie Conway,6,35,12,47,27,755,13,16,0,237,5,3,33,2018.0
201,Carlton,Sophie Li,7,34,20,54,30,629,7,20,0,232,0,2,2,2018.0
202,Fremantle,Stacey Barr,5,11,6,17,12,211,5,15,0,122,2,1,13,2018.0
203,Collingwood,Stacey Livingstone,2,12,2,14,5,247,4,5,0,67,0,0,0,2018.0
204,Collingwood,Steph Chiocci,5,42,28,70,31,677,7,21,0,295,2,1,13,2018.0
205,Fremantle,Stephanie Cain,7,41,25,66,36,767,9,32,0,329,1,1,7,2018.0
206,Adelaide,Stevie-Lee Thompson,7,39,9,48,30,747,8,15,0,220,1,0,6,2018.0
207,Brisbane,Tahlia Randall,8,37,16,53,34,845,9,24,140,383,0,0,0,2018.0
208,Adelaide,Talia Radan,2,6,3,9,3,110,2,1,0,28,0,0,0,2018.0
209,GWS Giants,Tanya Hetherington,7,23,16,39,15,595,10,4,0,135,0,0,0,2018.0
210,Collingwood,Tara Morgan,4,21,5,26,7,254,8,4,0,107,0,0,0,2018.0
211,Fremantle,Tayla Bresland,2,8,1,9,5,228,1,5,0,49,0,0,0,2018.0
212,Carlton,Tayla Harris,6,48,11,59,40,1314,20,19,2,325,5,6,36,2018.0
213,Fremantle,Tayla McAuliffe,3,10,3,13,5,243,3,1,12,61,0,0,0,2018.0
214,Melbourne,Tegan Cunningham,7,33,22,55,38,364,20,11,9,302,9,7,61,2018.0
215,Fremantle,Tiah Toth,3,15,8,23,12,431,4,9,0,110,0,0,0,2018.0
216,Carlton,Tiahna Cochrane,1,3,3,6,5,105,0,3,0,25,0,0,0,2018.0
217,Western Bulldogs,Tiarna Ernst,8,17,23,40,23,402,3,27,37,226,0,0,0,2018.0
218,Carlton,Tilly Lucas-Rodd,6,34,16,50,27,697,9,21,0,233,0,1,1,2018.0
