,Team,Player,Games,Kicks,Handballs,Disposals,Contested Possessions,Metres Gained,Marks,Tackles,Hitouts,Fantasy,Goals,Behinds,Score,Year
0,Western Bulldogs,Aasta O'Connor,4,9,14,23,12,269,4,6,24,113,1,0,6,2017.0
1,Adelaide,Abbey Holmes,8,35,38,73,51,659,9,16,0,288,2,2,14,2017.0
2,GWS Giants,Aimee Schmidt,7,21,17,38,13,444,15,9,0,188,3,0,18,2017.0
3,Melbourne,Ainslie Kemp,4,21,9,30,18,493,8,8,0,134,0,2,2,2017.0
4,Fremantle,Akec Makur Chuot,6,29,8,37,20,694,2,13,6,161,0,0,0,2017.0
5,GWS Giants,Alex Saundry,4,7,5,12,7,117,2,5,0,43,0,0,0,2017.0
6,GWS Giants,Alex Williams,7,47,20,67,35,1101,6,21,0,289,0,1,1,2017.0
7,Collingwood,Alicia Eva,7,63,16,79,35,1009,16,31,0,404,3,1,19,2017.0
8,Fremantle,Alicia Janz,3,4,9,13,11,51,1,16,47,143,0,0,0,2017.0
9,Melbourne,Aliesha Newman,4,15,7,22,7,353,6,4,0,102,2,2,14,2017.0
10,Carlton,Alison Brown,7,15,11,26,8,474,6,10,0,128,0,1,1,2017.0
11,Carlton,Alison Downie,7,33,17,50,30,731,15,16,89,332,2,0,12,2017.0
12,Brisbane,Ally Anderson,8,29,29,58,33,555,6,26,1,258,0,1,1,2017.0
13,Melbourne,Alyssa Mifsud,7,28,13,41,23,400,10,21,2,269,9,3,57,2017.0
14,GWS Giants,Amanda Farrugia,7,49,14,63,25,1215,14,27,0,315,0,0,0,2017.0
15,Collingwood,Amelia Mullane,7,36,29,65,50,834,8,39,0,341,0,1,1,2017.0
16,Fremantle,Amy Lavell,7,34,21,55,33,743,14,17,0,268,2,3,15,2017.0
17,Adelaide,Angela Foley,8,55,22,77,49,1354,16,15,0,310,1,0,6,2017.0
18,Western Bulldogs,Angelica Gogos,7,26,27,53,32,508,1,43,0,323,1,2,8,2017.0
19,Adelaide,Anne Hatchard,7,20,22,42,31,264,9,9,4,171,0,0,0,2017.0
20,GWS Giants,Ashleigh Guest,7,46,22,68,33,1044,13,29,3,335,0,0,0,2017.0
21,Fremantle,Ashley Sharp,7,15,16,31,12,420,4,12,0,149,4,3,27,2017.0
