,Team,Player,Games,Kicks,Handballs,Disposals,Contested Possessions,Metres Gained,Marks,Tackles,Hitouts,Fantasy,Goals,Behinds,Score,Year
0,Collingwood,Abbi Moloney,1,2,1,3,1,53,1,2,0,19,1,0,6,2022.0
1,Adelaide,Abbie Ballard,3,23,6,29,15,517,4,5,0,111,0,2,2,2022.0
2,Carlton,Abbie McKay,8,43,70,113,53,984,12,24,0,395,3,3,21,2022.0
3,North Melbourne,Aileen Gilroy,8,75,20,95,33,1714,12,19,0,359,0,1,1,2022.0
4,Adelaide,Ailish Considine,6,37,8,45,17,831,8,7,0,172,2,1,13,2022.0
5,West Coast,Aimee Schmidt,8,42,17,59,36,1212,16,8,0,271,7,8,50,2022.0
6,Fremantle,Aine Tighe,7,44,29,73,37,1284,27,16,31,353,1,1,7,2022.0
7,Fremantle,Airlie Runnalls,8,68,34,102,40,1313,22,18,0,408,1,3,9,2022.0
8,Collingwood,Aishling Sheridan,8,31,40,71,36,716,10,21,0,303,4,0,24,2022.0
9,West Coast,Aisling McCarthy,4,21,20,41,30,604,5,10,0,153,1,0,6,2022.0
10,Richmond,Akec Makur Chuot,3,11,1,12,4,261,3,2,1,58,1,2,8,2022.0
11,Gold Coast,Alana Barba,1,1,1,2,2,16,0,4,0,18,0,0,0,2022.0
12,Collingwood,Alana Porter,7,25,27,52,25,501,10,22,0,240,0,0,0,2022.0
13,St Kilda,Alana Woodward,2,5,7,12,12,76,1,7,0,57,0,0,0,2022.0
14,North Melbourne,Alexia Hamilton,1,2,0,2,3,12,1,4,1,27,0,0,0,2022.0
15,St Kilda,Alice Burke,7,42,8,50,16,885,11,15,0,222,0,0,0,2022.0
16,Western Bulldogs,Alice Edmonds,7,15,26,41,33,297,10,19,92,274,0,1,1,2022.0
17,North Melbourne,Alice O'Loughlin,7,17,21,38,21,392,7,16,0,184,2,0,12,2022.0
18,GWS Giants,Alicia Eva,8,103,40,143,61,1726,19,53,0,651,0,1,1,2022.0
19,Collingwood,Aliesha Newman,5,21,5,26,9,585,6,7,0,123,1,0,6,2022.0
20,Melbourne,Alison Brown,3,10,8,18,9,287,5,3,0,67,0,0,0,2022.0
21,Collingwood,Alison Downie,8,23,40,63,34,393,10,15,122,355,1,0,6,2022.0
22,Gold Coast,Alison Drennan,8,79,64,143,68,1878,19,46,0,587,1,1,7,2022.0
23,Brisbane,Ally Anderson,8,90,49,139,53,1944,17,26,0,512,1,4,10,2022.0
24,GWS Giants,Ally Dallaway,8,36,47,83,46,614,15,38,0,380,0,2,2,2022.0
25,GWS Giants,Ally Morphett,7,22,20,42,33,597,9,10,86,239,0,0,0,2022.0
26,GWS Giants,Alyce Parker,8,112,48,160,97,2426,17,42,0,648,0,2,2,2022.0
27,Melbourne,Alyssa Bannan,8,28,26,54,23,1001,11,16,2,250,4,2,26,2022.0
28,Western Bulldogs,Amanda Ling,2,3,8,11,5,78,1,3,0,38,0,0,0,2022.0
29,West Coast,Amber Ward,4,20,8,28,11,501,3,5,0,102,0,0,0,2022.0
30,Collingwood,Amelia Velardo,6,36,21,57,19,738,17,13,0,257,2,1,13,2022.0
31,Fremantle,Amy Franklin,2,6,4,10,8,180,3,3,0,55,2,2,14,2022.0
32,Geelong,Amy McDonald,8,66,101,167,101,1516,5,65,0,630,0,2,2,2022.0
33,North Melbourne,Amy Smith,6,20,28,48,16,428,11,19,0,222,0,0,0,2022.0
34,West Coast,Andrea Gilmore,7,19,8,27,11,374,10,14,19,171,0,2,2,2022.0
35,Fremantle,Angelique Stannett,8,60,17,77,33,1172,12,23,0,345,0,0,0,2022.0
36,Fremantle,Ann McMahon,5,15,16,31,19,372,5,13,0,151,1,3,9,2022.0
37,Geelong,Annabel Johnson,4,27,5,32,13,560,12,12,0,181,0,0,0,2022.0
38,Western Bulldogs,Annabel Strahan,1,1,3,4,2,7,1,1,0,13,0,0,0,2022.0
39,GWS Giants,Annalyse Lister,8,35,22,57,27,1056,16,21,0,268,0,0,0,2022.0
40,Adelaide,Anne Hatchard,8,129,69,198,91,2546,56,32,4,841,2,4,16,2022.0
41,Carlton,Annie Lee,3,13,4,17,6,233,5,1,0,67,0,0,0,2022.0
42,Gold Coast,Ashanti Bush,2,2,3,5,2,84,0,2,0,22,0,1,1,2022.0
43,West Coast,Ashlee Atkins,6,26,14,40,27,407,7,18,0,188,1,0,6,2022.0
44,Western Bulldogs,Ashleigh Guest,8,55,34,89,26,1059,19,13,0,341,0,0,0,2022.0
45,St Kilda,Ashleigh Richards,6,21,17,38,25,557,6,6,0,142,1,1,7,2022.0
46,North Melbourne,Ashleigh Riddell,8,136,93,229,101,2895,25,34,0,785,0,4,4,2022.0
47,Adelaide,Ashleigh Woodland,8,50,21,71,37,1127,15,24,0,423,15,3,93,2022.0
48,West Coast,Ashton Hill,6,32,8,40,20,695,15,7,0,184,0,0,0,2022.0
49,Western Bulldogs,Aurora Smith,1,0,0,0,0,0,0,1,0,4,0,0,0,2022.0
50,Western Bulldogs,Bailey Hunt,5,28,21,49,13,865,11,11,0,203,0,0,0,2022.0
51,West Coast,Belinda Smith,8,60,29,89,32,1565,30,15,0,381,0,0,0,2022.0
52,Collingwood,Bella Smith,3,7,6,13,8,155,3,7,8,79,0,0,0,2022.0
53,Richmond,Bethany Lynch,8,29,22,51,39,614,9,14,0,198,0,0,0,2022.0
54,St Kilda,Bianca Jakobsson,8,78,48,126,35,1695,22,20,0,466,0,0,0,2022.0
55,Fremantle,Bianca Webb,1,8,2,10,7,130,1,3,0,32,0,0,0,2022.0
56,Western Bulldogs,Bonnie Toogood,8,59,35,94,52,1375,31,14,2,446,7,10,52,2022.0
57,Carlton,Breann Moody,7,61,21,82,48,1833,23,12,136,489,2,0,12,2022.0
58,Brisbane,Breanna Koenen,8,62,20,82,37,1491,14,16,0,329,0,0,0,2022.0
59,Melbourne,Brenna Tarrant,3,16,4,20,10,176,0,2,0,66,0,0,0,2022.0
60,Collingwood,Brianna Davey,1,9,7,16,10,157,2,8,0,77,0,0,0,2022.0
61,GWS Giants,Brid Stack,8,37,32,69,37,1056,9,15,1,235,0,0,0,2022.0
62,Western Bulldogs,Britney Gutknecht,8,21,34,55,29,480,7,26,0,265,3,1,19,2022.0
63,Collingwood,Brittany Bonnici,8,111,41,152,71,2577,26,44,0,670,2,2,14,2022.0
64,Gold Coast,Brittany Perry,1,5,0,5,2,63,3,6,0,49,0,0,0,2022.0
65,GWS Giants,Brodee Mowbray,2,4,0,4,4,65,0,1,0,4,0,0,0,2022.0
66,North Melbourne,Brooke Brown,7,72,21,93,18,1712,27,11,0,372,0,0,0,2022.0
67,Western Bulldogs,Brooke Lochland,4,20,10,30,11,564,9,5,0,124,0,3,3,2022.0
68,Adelaide,Brooke Tonon,1,4,1,5,1,155,2,0,0,18,0,0,0,2022.0
69,Carlton,Brooke Vickers,3,13,7,20,6,331,6,2,0,82,0,1,1,2022.0
70,Carlton,Brooke Walker,5,25,13,38,11,574,5,6,0,134,1,0,6,2022.0
71,Adelaide,Caitlin Gould,7,38,28,66,37,744,22,15,59,364,3,5,23,2022.0
72,St Kilda,Caitlin Greiser,7,33,16,49,29,891,11,12,8,235,3,0,18,2022.0
73,Melbourne,Casey Sherriff,5,32,18,50,24,795,11,16,0,232,1,0,6,2022.0
74,GWS Giants,Casidhe Simmons,1,1,3,4,3,80,0,1,0,7,0,0,0,2022.0
75,St Kilda,Cat Phillips,8,75,69,144,60,1944,30,25,0,543,0,1,1,2022.0
76,Brisbane,Cathy Svarc,8,45,40,85,51,1783,8,65,0,498,2,5,17,2022.0
77,Western Bulldogs,Celine Moody,8,55,17,72,42,1434,12,18,118,441,2,2,14,2022.0
78,Geelong,Chantel Emonson,8,59,21,80,24,1702,12,30,0,367,1,0,6,2022.0
79,Gold Coast,Charlie Rowbottom,8,68,56,124,90,1457,14,54,4,556,1,0,6,2022.0
80,Carlton,Charlotte Hammans,1,2,3,5,2,46,0,1,0,13,0,0,0,2022.0
81,West Coast,Charlotte Thomas,8,53,21,74,41,1288,15,18,0,300,0,0,0,2022.0
82,Carlton,Charlotte Wilson,3,8,11,19,5,136,6,1,0,56,0,0,0,2022.0
83,Adelaide,Chelsea Biddell,8,48,25,73,30,1491,11,6,0,243,0,0,0,2022.0
84,Adelaide,Chelsea Randall,3,15,3,18,6,422,6,5,0,79,0,0,0,2022.0
85,Gold Coast,Cheyenne Hammond,5,16,7,23,11,518,3,14,0,126,1,1,7,2022.0
86,GWS Giants,Chloe Dalton,3,14,19,33,12,561,8,9,0,134,1,0,6,2022.0
87,Collingwood,Chloe Molloy,7,51,19,70,37,1347,15,16,0,330,5,5,35,2022.0
88,Geelong,Chloe Scheer,7,36,25,61,39,930,10,14,0,277,6,2,38,2022.0
89,Richmond,Christina Bernardi,5,21,15,36,15,500,7,11,0,178,4,2,26,2022.0
