,Team,Player,Games,Kicks,Handballs,Disposals,Contested Possessions,Metres Gained,Marks,Tackles,Hitouts,Fantasy,Goals,Behinds,Score,Year
0,Geelong,Aasta O'Connor,5,22,10,32,16,654,7,14,44,197,0,1,1,2019.0
1,Carlton,Abbie McKay,4,9,21,30,13,340,3,6,0,99,0,1,1,2019.0
2,Adelaide,Ailish Considine,8,44,12,56,21,1022,8,12,0,228,4,2,26,2019.0
3,GWS Giants,Aimee Schmidt,1,0,0,0,0,0,0,0,0,0,0,0,0,2019.0
4,Melbourne,Ainslie Kemp,4,10,12,22,15,189,5,5,0,87,0,0,0,2019.0
5,Western Bulldogs,Aisling McCarthy,6,41,20,61,32,968,11,15,0,290,5,1,31,2019.0
6,Western Bulldogs,Aisling Utri,7,59,21,80,49,1610,25,20,0,406,4,3,27,2019.0
7,Fremantle,Alex Williams,6,14,7,21,12,336,2,8,0,78,0,0,0,2019.0
8,GWS Giants,Alicia Eva,7,90,29,119,42,1930,15,20,0,461,2,1,13,2019.0
9,Fremantle,Alicia Janz,4,3,8,11,12,90,1,16,41,131,0,0,0,2019.0
10,Melbourne,Aliesha Newman,7,43,32,75,32,1206,16,12,0,318,6,5,41,2019.0
11,Carlton,Alison Downie,9,33,61,94,64,715,13,18,179,520,2,0,12,2019.0
12,North Melbourne,Alison Drennan,7,19,40,59,31,498,5,33,0,292,1,2,8,2019.0
13,Brisbane,Ally Anderson,7,91,56,147,73,1511,27,35,0,603,1,0,6,2019.0
14,GWS Giants,Alyce Parker,7,67,47,114,66,1641,13,29,0,440,0,3,3,2019.0
15,GWS Giants,Amanda Farrugia,7,33,26,59,21,499,11,16,0,231,0,0,0,2019.0
16,Carlton,Amelia Mullane,9,40,37,77,64,1307,7,47,3,389,0,0,0,2019.0
17,Adelaide,Angela Foley,9,77,32,109,32,2277,19,11,0,387,0,0,0,2019.0
18,Western Bulldogs,Angelica Gogos,7,39,14,53,30,702,2,42,0,323,0,0,0,2019.0
19,Fremantle,Angelique Stannett,8,17,9,26,20,352,1,17,0,130,0,0,0,2019.0
20,Geelong,Anna Teague,6,25,11,36,13,360,7,10,0,150,0,0,0,2019.0
21,Adelaide,Anne Hatchard,9,60,110,170,106,1389,24,34,23,620,3,1,19,2019.0
22,Brisbane,Arianna Clarke,4,10,8,18,7,238,4,4,0,63,0,0,0,2019.0
23,Fremantle,Ashlee Atkins,6,43,14,57,36,1046,14,11,1,265,3,6,24,2019.0
24,Collingwood,Ashleigh Brazill,6,93,14,107,57,2616,20,14,11,428,0,0,0,2019.0
25,Melbourne,Ashleigh Guest,4,10,12,22,7,351,3,8,0,93,0,0,0,2019.0
26,North Melbourne,Ashleigh Riddell,2,20,6,26,16,352,3,9,0,116,1,1,7,2019.0
27,Melbourne,Ashleigh Woodland,4,8,10,18,12,160,2,2,0,59,0,0,0,2019.0
28,Fremantle,Ashley Sharp,8,35,21,56,33,1046,6,10,0,259,8,8,56,2019.0
29,Western Bulldogs,Bailey Hunt,3,5,4,9,4,76,4,5,0,56,0,0,0,2019.0
30,Western Bulldogs,Belinda Smith,3,5,4,9,4,26,3,11,0,71,0,0,0,2019.0
31,North Melbourne,Bethany Lynch,3,11,5,16,12,314,4,2,0,60,0,0,0,2019.0
32,Melbourne,Bianca Jakobsson,7,37,32,69,24,1026,11,15,0,273,3,0,18,2019.0
33,Western Bulldogs,Bonnie Toogood,6,19,4,23,12,394,10,6,0,124,1,0,6,2019.0
34,Carlton,Breann Moody,8,22,13,35,20,643,10,8,69,229,2,3,15,2019.0
35,Brisbane,Breanna Koenen,5,38,15,53,20,822,12,14,0,247,1,0,6,2019.0
36,Carlton,Brianna Davey,9,81,66,147,75,2213,31,37,0,613,2,1,13,2019.0
37,Fremantle,Brianna Moyes,1,0,0,0,0,0,0,0,0,0,0,0,0,2019.0
38,Collingwood,Brittany Bonnici,7,71,17,88,51,1545,16,44,0,448,0,2,2,2019.0
39,North Melbourne,Brittany Gibson,7,50,20,70,32,1690,20,19,0,305,1,0,6,2019.0
40,GWS Giants,Brittany Perry,4,11,11,22,18,208,4,10,0,100,0,1,1,2019.0
41,Western Bulldogs,Brooke Lochland,3,14,5,19,10,259,4,9,0,105,1,2,8,2019.0
42,Melbourne,Brooke Patterson,2,4,4,8,4,75,2,5,0,48,0,0,0,2019.0
43,Carlton,Brooke Walker,7,35,26,61,20,770,12,19,0,300,6,4,40,2019.0
44,Geelong,Cassie Blakeway,7,34,18,52,24,773,9,11,0,197,0,0,0,2019.0
45,Melbourne,Cat Phillips,7,27,46,73,43,918,8,12,0,230,1,0,6,2019.0
46,Collingwood,Cecilia McIntosh,4,11,12,23,16,249,2,15,0,119,0,0,0,2019.0
47,Western Bulldogs,Celine Moody,5,10,2,12,9,258,2,3,48,90,0,1,1,2019.0
48,Melbourne,Chantel Emonson,7,58,15,73,19,1557,6,27,0,333,1,0,6,2019.0
49,Carlton,Charlotte Wilson,5,13,5,18,9,178,6,4,0,79,0,0,0,2019.0
50,Adelaide,Chelsea Randall,8,73,51,124,56,2017,29,18,0,482,1,1,7,2019.0
51,Carlton,Chloe Dalton,9,49,34,83,41,1704,18,32,0,418,5,4,34,2019.0
52,North Melbourne,Chloe Haines,1,1,1,2,1,59,0,1,0,10,0,0,0,2019.0
53,Adelaide,Chloe Scheer,8,48,31,79,37,1354,20,6,0,337,8,7,55,2019.0
54,GWS Giants,Christina Bernardi,7,44,15,59,28,1008,15,15,0,307,7,6,48,2019.0
55,Melbourne,Claudia Whitfort,1,1,1,2,1,-1,1,2,0,13,0,0,0,2019.0
56,GWS Giants,Cora Staunton,7,65,31,96,51,2029,19,24,0,426,6,4,40,2019.0
57,North Melbourne,Courteney Munn,2,7,7,14,8,122,5,3,0,84,4,1,25,2019.0
58,Adelaide,Courtney Cramey,7,56,25,81,27,1202,13,25,0,348,1,0,6,2019.0
59,Fremantle,Courtney Guard,1,1,3,4,2,-3,0,2,0,15,0,0,0,2019.0
60,GWS Giants,Courtney Gum,7,54,34,88,52,959,4,24,0,330,0,0,0,2019.0
61,North Melbourne,Daisy Bateman,7,15,14,29,12,307,8,13,0,174,4,4,28,2019.0
62,Fremantle,Dana Hooker,8,90,43,133,90,2025,9,58,0,618,1,1,7,2019.0
63,North Melbourne,Danielle Hardiman,7,31,30,61,27,471,9,13,0,236,0,0,0,2019.0
64,Geelong,Danielle Higgins,8,35,32,67,34,895,13,23,0,292,1,1,7,2019.0
65,Adelaide,Danielle Ponter,8,28,24,52,27,590,12,8,0,269,13,1,79,2019.0
66,Collingwood,Darcy Guttridge,3,9,14,23,14,258,2,3,0,84,3,1,19,2019.0
67,Carlton,Darcy Vescio,9,50,31,81,57,1092,17,13,1,330,5,10,40,2019.0
68,North Melbourne,Daria Bannister,2,6,0,6,3,150,2,4,0,43,1,0,6,2019.0
69,Adelaide,Dayna Cox,9,34,38,72,42,762,10,22,0,289,0,0,0,2019.0
70,Western Bulldogs,Deanna Berry,5,22,5,27,17,590,7,9,0,134,1,2,8,2019.0
71,GWS Giants,Delma Gisu,1,1,4,5,3,25,0,0,0,11,0,0,0,2019.0
72,Geelong,Denby Taylor,8,37,23,60,32,641,5,16,0,222,0,0,0,2019.0
73,Adelaide,Deni Varnhagen,9,70,29,99,38,2067,26,19,0,410,2,1,13,2019.0
74,Fremantle,Ebony Antonio,8,62,20,82,50,1595,14,24,3,391,5,5,35,2019.0
75,Adelaide,Ebony Marinoff,9,130,75,205,107,3158,15,75,0,857,3,2,20,2019.0
76,Melbourne,Eden Zanker,7,26,20,46,29,607,12,22,72,340,5,1,31,2019.0
77,Western Bulldogs,Eleanor Brown,5,21,13,34,16,488,7,7,0,129,0,0,0,2019.0
78,Melbourne,Elise O'Dea,7,78,51,129,56,2087,26,29,0,517,1,0,6,2019.0
79,North Melbourne,Elisha King,6,27,8,35,14,602,11,13,0,185,1,0,6,2019.0
80,Collingwood,Eliza Hynes,6,8,18,26,17,171,6,16,101,230,0,0,0,2019.0
81,GWS Giants,Elle Bennetts,7,49,27,76,27,1334,10,11,1,279,0,3,3,2019.0
82,Western Bulldogs,Ellie Blackburn,7,86,35,121,68,2256,19,27,0,495,2,3,15,2019.0
83,GWS Giants,Ellie Brush,6,44,30,74,35,830,15,13,0,257,0,0,0,2019.0
84,Western Bulldogs,Ellyse Gamble,3,8,3,11,5,121,4,6,14,69,0,0,0,2019.0
85,Adelaide,Eloise Jones,9,38,22,60,32,947,14,32,0,373,9,5,59,2019.0
86,Carlton,Emerson Woods,1,4,3,7,2,99,1,0,0,18,0,0,0,2019.0
87,Brisbane,Emily Bates,7,62,54,116,47,1529,15,29,0,432,0,1,1,2019.0
88,Collingwood,Emma Grant,6,25,17,42,23,476,9,12,0,188,1,0,6,2019.0
89,North Melbourne,Emma Humphries,5,23,3,26,6,494,11,3,0,120,0,0,0,2019.0
90,North Melbourne,Emma Kearney,7,96,45,141,76,2195,22,36,0,575,1,2,8,2019.0
91,North Melbourne,Emma King,7,34,14,48,33,628,15,23,125,428,8,5,53,2019.0
92,Western Bulldogs,Emma Mackie,4,19,18,37,21,460,9,11,0,155,1,2,8,2019.0
93,Brisbane,Emma Pittman,4,11,11,22,10,253,5,8,0,104,0,0,0,2019.0
94,GWS Giants,Emma Swanson,2,13,5,18,8,274,4,2,0,70,0,0,0,2019.0
95,Brisbane,Emma Zielke,7,50,24,74,29,1199,24,10,0,312,1,1,7,2019.0
96,Collingwood,Erica Fowler,2,6,3,9,5,167,3,14,23,106,0,0,0,2019.0
97,Geelong,Erin Hoare,7,15,20,35,19,326,6,18,178,348,0,0,0,2019.0
98,GWS Giants,Erin McKinnon,5,7,17,24,17,278,2,14,125,222,0,0,0,2019.0
