,Team,Player,Games,Kicks,Handballs,Disposals,Contested Possessions,Metres Gained,Marks,Tackles,Hitouts,Fantasy,Goals,Behinds,Score,Year
99,Adelaide,Erin Phillips,9,129,64,193,115,3187,31,29,1,793,11,11,77,2019.0
100,Fremantle,Evangeline Gooch,7,55,10,65,23,1619,10,15,0,261,1,1,7,2019.0
101,Brisbane,Gabby Collingwood,5,16,6,22,6,281,7,15,0,143,0,0,0,2019.0
102,Fremantle,Gabby O'Sullivan,7,24,23,47,26,582,5,17,0,211,4,2,26,2019.0
103,Carlton,Gabriella Pound,9,76,28,104,39,1368,29,16,0,441,1,1,7,2019.0
104,Fremantle,Gemma Houghton,8,51,22,73,43,1558,25,35,11,473,9,8,62,2019.0
105,Geelong,Georgia Clarke,6,31,9,40,15,629,10,6,0,163,1,0,6,2019.0
106,Carlton,Georgia Gee,8,60,26,86,38,1165,12,27,0,378,1,0,6,2019.0
107,Collingwood,Georgia Gourlay,5,23,1,24,8,467,9,6,0,120,0,0,0,2019.0
108,North Melbourne,Georgia Nanscawen,2,4,3,7,4,81,2,5,0,42,0,1,1,2019.0
109,Collingwood,Georgie Parker,1,2,0,2,2,31,0,4,0,17,0,0,0,2019.0
110,Geelong,Georgie Rankin,2,3,7,10,4,11,1,6,0,52,0,0,0,2019.0
111,GWS Giants,Haneen Zreika,5,18,38,56,35,396,3,24,0,226,1,0,6,2019.0
112,Geelong,Hannah Burchell,1,6,2,8,2,119,2,1,0,33,0,0,0,2019.0
113,Adelaide,Hannah Button,8,34,33,67,37,1038,7,30,0,290,2,1,13,2019.0
114,Western Bulldogs,Hannah Scott,7,70,11,81,27,2145,12,18,0,318,0,0,0,2019.0
115,Melbourne,Harriet Cordner,7,45,28,73,40,1234,16,10,0,254,0,0,0,2019.0
116,Fremantle,Hayley Miller,7,58,22,80,40,1708,5,25,1,329,1,3,9,2019.0
117,Western Bulldogs,Hayley Wildes,1,2,2,4,2,49,2,1,0,20,0,0,0,2019.0
118,Collingwood,Holly Whitford,1,4,0,4,0,56,2,3,0,27,0,0,0,2019.0
119,Collingwood,Iilish Ross,6,23,7,30,15,501,7,15,0,153,0,0,0,2019.0
120,GWS Giants,Ingrid Nielsen,3,12,7,19,15,313,2,13,44,144,0,2,2,2019.0
121,Western Bulldogs,Isabel Huntington,3,10,6,16,11,195,7,7,1,106,2,1,13,2019.0
122,GWS Giants,Jacinda Barclay,5,19,21,40,26,409,6,5,0,151,2,2,14,2019.0
123,Brisbane,Jacqui Yorston,4,28,22,50,38,521,5,32,0,267,0,0,0,2019.0
124,Brisbane,Jade Ellenger,2,8,3,11,4,215,2,5,0,62,2,0,12,2019.0
125,Collingwood,Jaimee Lambert,7,75,34,109,68,1647,22,37,0,511,3,5,23,2019.0
126,North Melbourne,Jamie Stanton,7,80,40,120,45,1645,35,28,0,521,0,1,1,2019.0
127,North Melbourne,Jasmine Garner,7,68,24,92,48,1483,25,15,0,419,5,4,34,2019.0
128,North Melbourne,Jasmine Grierson,7,37,18,55,26,444,13,7,0,208,0,0,0,2019.0
129,Carlton,Jayde van Dyk,9,48,44,92,35,980,22,18,0,373,0,0,0,2019.0
130,North Melbourne,Jenna Bruton,7,81,46,127,65,1868,18,37,0,523,0,0,0,2019.0
131,Adelaide,Jenna McCormick,7,48,16,64,20,1092,13,13,0,259,0,1,1,2019.0
132,North Melbourne,Jess Duffin,7,94,29,123,44,1959,40,19,0,539,1,1,7,2019.0
133,Adelaide,Jess Foley,9,86,48,134,58,1949,38,32,180,803,4,6,30,2019.0
134,Carlton,Jess Hosking,9,42,21,63,28,971,14,18,0,275,0,0,0,2019.0
135,North Melbourne,Jess Trend,7,29,26,55,20,613,18,17,0,256,0,0,0,2019.0
136,Brisbane,Jess Wuetschner,7,53,23,76,37,1227,19,15,0,375,8,6,54,2019.0
137,Brisbane,Jesse Wardlaw,7,27,18,45,21,456,15,14,59,284,1,1,7,2019.0
138,GWS Giants,Jessica Dal Pos,7,53,29,82,37,1040,12,21,0,337,1,1,7,2019.0
139,Carlton,Jessica Edwards,7,32,39,71,31,754,10,20,0,266,1,0,6,2019.0
140,Brisbane,Jessy Keeffe,4,4,14,18,12,134,1,14,73,154,0,0,0,2019.0
141,GWS Giants,Jodie Hicks,3,11,9,20,11,207,2,12,0,106,1,1,7,2019.0
142,Geelong,Jordan Ivey,8,36,22,58,25,860,17,33,0,321,0,4,4,2019.0
143,Collingwood,Jordan Membrey,3,6,6,12,6,95,7,6,0,86,2,0,12,2019.0
144,Brisbane,Jordan Zanchetta,6,14,21,35,19,219,4,24,0,182,1,0,6,2019.0
145,Collingwood,Jordyn Allen,7,43,18,61,24,696,22,9,0,265,1,2,8,2019.0
146,Geelong,Julia Crockett-Grills,8,45,20,65,37,943,10,27,0,304,0,1,1,2019.0
147,Adelaide,Justine Mules,9,63,32,95,48,1512,14,36,0,430,0,1,1,2019.0
148,North Melbourne,Kaitlyn Ashmore,7,63,8,71,23,1551,29,38,0,448,4,3,27,2019.0
149,Fremantle,Kara Antonio,7,58,17,75,41,1482,7,24,0,323,0,3,3,2019.0
150,Melbourne,Karen Paxman,7,93,53,146,77,2735,15,24,0,521,3,5,23,2019.0
151,Western Bulldogs,Kate Bartlett,1,1,0,1,1,37,0,3,0,16,0,0,0,2019.0
152,Geelong,Kate Darby,7,40,13,53,31,1073,12,18,22,310,5,4,34,2019.0
153,North Melbourne,Kate Gillespie-Jones,7,48,34,82,37,1301,25,40,55,496,1,1,7,2019.0
154,Melbourne,Kate Hore,7,51,36,87,47,853,16,25,0,376,1,7,13,2019.0
155,Brisbane,Kate Lutkins,7,74,20,94,41,1958,27,24,0,434,0,2,2,2019.0
156,Brisbane,Kate McCarthy,7,32,8,40,17,774,7,20,0,254,6,4,40,2019.0
157,Melbourne,Katherine Smith,7,26,12,38,20,641,5,33,0,236,1,0,6,2019.0
158,Western Bulldogs,Katie Brennan,7,59,15,74,36,1294,23,17,5,355,6,5,41,2019.0
159,Carlton,Katie Loynes,9,52,27,79,48,1452,14,33,0,391,2,3,15,2019.0
160,Collingwood,Katie Lynch,6,21,14,35,16,311,9,14,0,164,1,0,6,2019.0
161,Fremantle,Katie-Jayne Grieve,5,15,6,21,13,497,2,12,0,101,1,0,6,2019.0
162,Fremantle,Kellie Gibson,7,34,12,46,20,928,6,11,1,215,7,1,43,2019.0
163,Carlton,Kerryn Harrington,9,86,31,117,46,2202,28,11,0,435,0,0,0,2019.0
164,Fremantle,Kiara Bowers,8,116,21,137,87,2537,25,89,0,805,3,3,21,2019.0
165,Western Bulldogs,Kim Rennie,7,24,9,33,34,525,5,12,102,254,0,0,0,2019.0
166,Carlton,Kirby Bentley,3,14,9,23,8,250,6,4,0,86,0,0,0,2019.0
167,Western Bulldogs,Kirsten McLeod,6,24,4,28,15,595,7,11,0,153,2,5,17,2019.0
168,Western Bulldogs,Kirsty Lamb,7,73,25,98,51,1418,24,43,0,496,0,2,2,2019.0
169,Collingwood,Kristy Stratton,5,31,17,48,36,678,2,29,0,247,0,2,2,2019.0
170,Fremantle,Laura Pugh,4,18,10,28,17,319,2,7,0,106,0,0,0,2019.0
171,Brisbane,Lauren Arnell,7,58,30,88,30,1157,15,32,0,401,0,0,0,2019.0
172,Brisbane,Lauren Bella,3,2,13,15,10,74,0,6,50,106,0,0,0,2019.0
173,Carlton,Lauren Brazzale,8,68,15,83,27,2099,13,18,0,346,0,4,4,2019.0
174,Collingwood,Lauren Butler,3,4,5,9,5,127,1,8,0,55,0,0,0,2019.0
175,Melbourne,Lauren Pearce,7,40,49,89,69,812,12,12,139,443,2,0,12,2019.0
176,Western Bulldogs,Lauren Spark,7,55,15,70,24,940,37,10,0,335,0,0,0,2019.0
177,Brisbane,Leah Kaslar,5,16,12,28,15,398,4,12,0,124,0,0,0,2019.0
178,Fremantle,Leah Mascall,6,15,7,22,15,325,3,13,0,120,0,0,0,2019.0
179,Western Bulldogs,Libby Birch,7,46,18,64,28,770,18,25,0,321,1,0,6,2019.0
180,Melbourne,Lily Mithen,7,67,37,104,43,1269,22,29,0,453,0,0,0,2019.0
181,GWS Giants,Lisa Whiteley,2,3,3,6,5,25,2,1,0,13,0,0,0,2019.0
182,GWS Giants,Louise Stephenson,7,30,37,67,33,658,10,13,25,259,1,0,6,2019.0
183,Collingwood,Maddie Shevlin,5,40,8,48,16,1154,10,13,0,215,1,2,8,2019.0
184,Melbourne,Maddison Gay,7,47,41,88,47,1082,10,24,0,367,3,6,24,2019.0
185,GWS Giants,Maddy Collier,4,14,10,24,9,386,3,10,0,105,0,0,0,2019.0
186,Melbourne,Maddy Guerin,3,17,7,24,12,521,4,7,0,102,0,1,1,2019.0
187,Geelong,Maddy McMahon,7,54,29,83,45,1496,21,16,9,349,0,0,0,2019.0
188,Geelong,Madeleine Boyd,7,24,23,47,30,614,20,12,0,220,2,2,14,2019.0
189,Geelong,Madeline Keryk,8,62,32,94,50,1299,15,38,0,435,0,0,0,2019.0
190,Carlton,Madison Prespakis,9,113,59,172,89,2747,17,28,0,647,7,3,45,2019.0
191,Geelong,Maighan Fogas,1,4,2,6,4,80,2,2,0,28,0,0,0,2019.0
192,Adelaide,Maisie Nankivell,2,4,3,7,3,88,2,10,10,69,0,1,1,2019.0
193,Adelaide,Marijana Rajcic,9,66,35,101,37,1494,26,16,0,393,0,1,1,2019.0
194,Fremantle,Matilda Sergeant,4,19,13,32,20,508,4,11,0,142,0,0,0,2019.0
195,Brisbane,McKenzie Dowrick,7,46,17,63,27,1298,15,14,0,273,0,2,2,2019.0
196,Melbourne,Meg Downie,7,29,32,61,32,751,16,11,0,241,0,0,0,2019.0
197,Geelong,Meg McDonald,8,80,46,126,56,2283,21,10,0,424,0,0,0,2019.0
198,Brisbane,Megan Hunt,2,5,4,9,2,32,1,4,0,45,1,0,6,2019.0
199,Fremantle,Melissa Caulfield,8,44,18,62,35,1224,10,19,0,274,1,2,8,2019.0
200,Geelong,Melissa Hickey,6,33,26,59,28,717,18,23,0,285,0,0,0,2019.0
201,Collingwood,Melissa Kuys,2,7,0,7,2,88,5,2,0,41,0,0,0,2019.0
202,Geelong,Mia-Rae Clifford,8,30,8,38,20,663,12,18,0,251,6,2,38,2019.0
203,Collingwood,Mikala Cann,4,10,8,18,13,218,2,26,0,135,0,2,2,2019.0
204,North Melbourne,Moana Hope,7,33,7,40,21,702,16,8,0,239,8,4,52,2019.0
205,Western Bulldogs,Monique Conti,7,73,53,126,80,1586,20,31,0,505,1,3,9,2019.0
206,Western Bulldogs,Naomi Ferres,7,23,20,43,22,286,6,19,0,210,1,0,6,2019.0
207,Brisbane,Nat Exon,7,66,42,108,51,1482,22,45,1,551,4,2,26,2019.0
208,Brisbane,Nat Grider,2,5,5,10,7,58,3,4,0,50,0,0,0,2019.0
209,Carlton,Natalie Plane,4,18,8,26,11,495,4,15,0,153,2,0,12,2019.0
210,GWS Giants,Nicola Barr,5,29,11,40,15,690,6,17,0,192,0,0,0,2019.0
211,Carlton,Nicola Stevens,9,58,24,82,39,1378,13,11,0,294,0,0,0,2019.0
212,North Melbourne,Nicole Bresnehen,4,15,8,23,9,319,7,7,0,112,0,0,0,2019.0
213,Western Bulldogs,Nicole Callinan,6,29,9,38,15,536,9,16,0,189,0,0,0,2019.0
214,Collingwood,Nicole Hildebrand,2,10,3,13,6,252,3,5,0,66,0,0,0,2019.0
215,Adelaide,Nikki Gore,1,5,2,7,3,94,1,1,0,23,0,0,0,2019.0
216,Geelong,Nina Morrison,1,13,9,22,14,334,2,8,0,92,0,1,1,2019.0
217,Geelong,Olivia Purcell,8,58,66,124,72,1665,9,41,0,495,2,0,12,2019.0
218,Brisbane,Paige Parker,4,13,5,18,7,334,3,5,0,60,0,0,0,2019.0
219,Fremantle,Parris Laurie,8,23,55,78,57,494,10,17,85,342,0,0,0,2019.0
220,GWS Giants,Pepa Randall,7,22,12,34,13,381,8,16,0,150,0,0,0,2019.0
221,Fremantle,Philipa Seth,8,39,22,61,32,963,10,16,0,246,0,0,0,2019.0
222,Geelong,Phoebe McWilliams,6,27,9,36,18,771,19,13,0,231,3,4,22,2019.0
223,GWS Giants,Phoebe Monahan,4,15,13,28,17,254,0,8,0,105,0,0,0,2019.0
224,GWS Giants,Rebecca Beeson,7,60,54,114,60,1315,14,22,0,411,0,3,3,2019.0
225,Geelong,Rebecca Goring,8,27,19,46,19,596,10,18,0,211,0,0,0,2019.0
226,Geelong,Rebecca Webster,4,11,15,26,19,303,4,4,0,89,0,1,1,2019.0
227,Geelong,Rene Caris,2,4,8,12,8,84,0,1,13,46,0,1,1,2019.0
228,Adelaide,Renee Forth,9,57,28,85,28,1239,24,21,0,374,1,4,10,2019.0
229,Geelong,Renee Garing,8,43,61,104,54,921,9,64,0,516,0,1,1,2019.0
230,GWS Giants,Renee Tomkins,1,2,0,2,1,33,0,1,0,11,0,0,0,2019.0
231,Carlton,Rhiannon Watt,2,4,8,12,9,88,3,1,8,46,0,0,0,2019.0
232,Geelong,Richelle Cranston,6,62,32,94,62,1847,13,27,1,396,1,3,9,2019.0
233,Collingwood,Ruby Schleicher,6,23,13,36,15,511,9,8,0,145,0,0,0,2019.0
234,Fremantle,Sabreena Duffy,8,54,12,66,39,1313,9,15,0,324,8,5,53,2019.0
235,Brisbane,Sabrina Frederick,7,44,27,71,46,807,21,23,7,345,1,7,13,2019.0
236,Adelaide,Sally Riley,4,10,20,30,16,187,4,2,0,97,1,3,9,2019.0
237,Brisbane,Sam Virgo,7,39,23,62,21,906,13,15,0,252,0,0,0,2019.0
238,Adelaide,Sarah Allan,9,54,29,83,30,1217,20,13,0,330,0,0,0,2019.0
239,Collingwood,Sarah D'Arcy,5,41,13,54,22,797,28,6,0,275,4,0,24,2019.0
240,Collingwood,Sarah Dargan,7,51,21,72,51,1205,10,28,0,334,2,2,14,2019.0
241,Carlton,Sarah Hosking,9,55,32,87,40,1303,19,25,0,391,1,2,8,2019.0
242,Melbourne,Sarah Lampard,7,24,34,58,22,715,9,16,0,228,0,0,0,2019.0
243,Adelaide,Sarah Perkins,2,6,3,9,5,176,3,5,1,60,1,1,7,2019.0
244,Collingwood,Sarah Rowe,7,52,21,73,23,1235,21,20,0,333,2,2,14,2019.0
245,Western Bulldogs,Selena Karlson,3,10,5,15,10,182,2,5,0,57,0,0,0,2019.0
246,Carlton,Shae Audley,2,3,5,8,7,90,2,12,0,66,0,0,0,2019.0
247,Melbourne,Shae Sloane,1,4,1,5,1,89,0,1,0,18,0,0,0,2019.0
248,Brisbane,Shannon Campbell,7,42,16,58,25,973,10,22,0,277,0,0,0,2019.0
249,Collingwood,Sharni Norder,6,8,16,24,17,172,5,10,41,148,0,0,0,2019.0
250,Brisbane,Sharni Webb,4,12,8,20,14,307,0,9,0,90,0,0,0,2019.0
251,Melbourne,Shelley Heath,2,2,7,9,5,35,1,4,0,39,0,0,0,2019.0
252,Melbourne,Shelley Scott,7,33,27,60,30,834,23,19,1,302,1,2,8,2019.0
253,North Melbourne,Sophie Abbatangelo,6,34,25,59,40,599,13,5,0,215,2,5,17,2019.0
254,Collingwood,Sophie Alexander,4,17,5,22,15,467,7,5,6,116,1,2,8,2019.0
255,Collingwood,Sophie Casey,7,20,8,28,19,468,2,15,0,131,0,0,0,2019.0
256,Adelaide,Sophie Li,9,23,31,54,26,566,6,30,0,260,1,1,7,2019.0
257,Geelong,Sophie Van De Heuvel,7,25,18,43,22,581,7,14,0,183,1,0,6,2019.0
258,Collingwood,Stacey Livingstone,7,65,2,67,18,1990,6,9,2,238,0,0,0,2019.0
259,Collingwood,Steph Chiocci,7,51,22,73,29,1150,20,21,0,330,1,3,9,2019.0
260,Fremantle,Stephanie Cain,8,63,24,87,39,1783,22,31,0,429,2,2,14,2019.0
261,Adelaide,Stevie-Lee Thompson,9,52,26,78,38,1292,17,14,0,391,14,4,88,2019.0
262,North Melbourne,Tahlia Randall,7,39,10,49,19,995,17,18,0,240,0,0,0,2019.0
263,GWS Giants,Tait Mackrill,3,15,9,24,12,363,2,3,0,76,1,0,6,2019.0
264,GWS Giants,Tanya Hetherington,7,31,17,48,12,847,6,8,0,169,0,0,0,2019.0
265,Fremantle,Tayla Bresland,8,49,11,60,25,1294,6,11,0,215,0,0,0,2019.0
266,Carlton,Tayla Harris,8,50,13,63,37,1272,25,21,1,372,8,7,55,2019.0
267,GWS Giants,Taylah Davies,2,5,4,9,2,135,1,5,0,42,0,1,1,2019.0
268,North Melbourne,Taylor Mesiti,2,5,3,8,4,117,2,2,0,35,0,0,0,2019.0
269,Melbourne,Tegan Cunningham,7,32,30,62,35,560,29,14,3,342,8,4,52,2019.0
270,Western Bulldogs,Tiarna Ernst,7,27,13,40,19,608,11,20,1,203,0,0,0,2019.0
271,Carlton,Tilly Lucas-Rodd,5,20,13,33,18,465,4,16,0,161,2,1,13,2019.0
272,Brisbane,Tori Groves-Little,2,10,2,12,9,293,1,8,0,70,0,1,1,2019.0
273,Melbourne,Tyla Hanks,7,37,21,58,26,871,9,15,0,246,3,1,19,2019.0
274,GWS Giants,Yvonne Bonner,7,44,27,71,34,926,21,11,0,311,6,4,40,2019.0
