,Team,Player,Games,Kicks,Handballs,Disposals,Contested Possessions,Metres Gained,Marks,Tackles,Hitouts,Fantasy,Goals,Behinds,Score,Year
0,Geelong,Aasta O'Connor,9,51,23,74,22,1088,27,14,68,395,1,0,6,2021.0
1,Collingwood,Abbi Moloney,2,3,0,3,3,42,2,3,0,36,2,0,12,2021.0
2,Carlton,Abbie McKay,9,28,79,107,69,696,4,39,0,348,0,1,1,2021.0
3,North Melbourne,Aileen Gilroy,10,102,20,122,44,3034,21,28,0,502,0,1,1,2021.0
4,Adelaide,Ailish Considine,4,26,4,30,9,578,2,2,0,96,1,0,6,2021.0
5,GWS Giants,Aimee Schmidt,3,19,5,24,10,512,10,2,0,102,1,2,8,2021.0
6,Collingwood,Aishling Sheridan,11,59,42,101,54,1276,22,26,0,454,8,12,60,2021.0
7,West Coast,Aisling McCarthy,7,69,30,99,54,1866,10,33,0,426,2,2,14,2021.0
8,Richmond,Akec Makur Chuot,6,44,4,48,21,824,6,15,0,202,0,0,0,2021.0
9,Collingwood,Alana Porter,11,31,36,67,37,696,12,16,0,245,0,1,1,2021.0
10,St Kilda,Alice Burke,4,16,12,28,13,342,5,15,0,147,0,0,0,2021.0
11,North Melbourne,Alice O'Loughlin,2,1,4,5,3,32,1,4,0,30,0,0,0,2021.0
12,GWS Giants,Alicia Eva,9,108,41,149,59,2087,16,38,0,607,1,2,8,2021.0
13,West Coast,Alicia Janz,6,12,19,31,19,450,5,11,47,184,0,0,0,2021.0
14,Collingwood,Aliesha Newman,7,26,12,38,16,579,7,5,0,156,3,4,22,2021.0
15,St Kilda,Alison Brown,5,26,12,38,13,261,12,11,22,206,0,1,1,2021.0
16,Carlton,Alison Downie,9,18,31,49,25,218,6,14,42,239,1,0,6,2021.0
17,Gold Coast,Alison Drennan,9,82,95,177,99,1686,16,62,0,703,1,1,7,2021.0
18,Brisbane,Ally Anderson,11,121,83,204,82,2617,32,39,0,791,2,1,13,2021.0
19,GWS Giants,Alyce Parker,9,141,74,215,134,3451,27,46,0,826,1,2,8,2021.0
20,Melbourne,Alyssa Bannan,11,42,22,64,28,901,14,20,0,325,6,6,42,2021.0
21,West Coast,Amber Ward,9,66,32,98,28,1739,13,12,0,340,0,0,0,2021.0
22,Collingwood,Amelia Velardo,2,3,3,6,1,59,1,3,0,28,0,1,1,2021.0
23,Geelong,Amy McDonald,9,81,95,176,111,2108,12,66,0,740,2,1,13,2021.0
24,West Coast,Andrea Gilmore,3,9,3,12,8,176,1,8,19,86,1,1,7,2021.0
25,Adelaide,Angela Foley,11,82,42,124,47,2283,26,15,0,440,0,0,0,2021.0
26,Western Bulldogs,Angelica Gogos,3,23,0,23,13,422,7,9,0,123,0,0,0,2021.0
27,Fremantle,Angelique Stannett,10,51,13,64,43,976,10,25,0,307,0,0,0,2021.0
28,GWS Giants,Annalyse Lister,8,26,16,42,22,843,6,11,0,133,0,0,0,2021.0
29,Adelaide,Anne Hatchard,11,129,96,225,115,3374,47,48,0,899,4,3,27,2021.0
30,Gold Coast,Annise Bradfield,2,0,2,2,1,-7,0,1,0,5,0,0,0,2021.0
31,West Coast,Ashlee Atkins,9,53,29,82,39,1238,15,28,0,380,1,5,11,2021.0
32,Collingwood,Ashleigh Brazill,4,35,10,45,20,963,14,11,0,216,1,4,10,2021.0
33,Western Bulldogs,Ashleigh Guest,9,70,22,92,26,1535,23,15,0,373,0,0,0,2021.0
34,North Melbourne,Ashleigh Riddell,10,141,77,218,98,3261,32,45,0,859,3,5,23,2021.0
35,Adelaide,Ashleigh Woodland,11,49,26,75,43,1117,19,28,3,418,9,10,64,2021.0
36,Fremantle,Ashley Sharp,7,31,16,47,23,851,7,10,1,216,4,3,27,2021.0
37,Western Bulldogs,Bailey Hunt,4,23,4,27,6,456,9,10,0,134,0,0,0,2021.0
38,West Coast,Belinda Smith,9,62,55,117,35,1824,22,21,0,444,0,0,0,2021.0
39,Collingwood,Bella Smith,6,12,16,28,17,203,6,9,20,136,0,0,0,2021.0
40,North Melbourne,Bethany Lynch,3,10,5,15,5,142,5,1,0,58,2,1,13,2021.0
41,St Kilda,Bianca Jakobsson,7,40,18,58,14,742,16,17,0,267,0,0,0,2021.0
42,Fremantle,Bianca Webb,7,32,11,43,17,616,8,20,0,222,1,1,7,2021.0
43,Western Bulldogs,Bonnie Toogood,9,54,28,82,36,1533,26,23,4,438,9,5,59,2021.0
44,Carlton,Breann Moody,9,66,40,106,54,2112,28,14,170,590,1,1,7,2021.0
45,Brisbane,Breanna Koenen,11,100,29,129,57,2153,30,21,0,509,0,0,0,2021.0
46,Melbourne,Brenna Tarrant,9,33,17,50,21,606,13,16,0,235,1,1,7,2021.0
47,Collingwood,Brianna Davey,11,139,123,262,128,3238,39,63,0,1043,6,6,42,2021.0
48,West Coast,Brianna Green,4,10,15,25,9,234,1,9,0,95,0,0,0,2021.0
49,Western Bulldogs,Britney Gutknecht,4,11,18,29,11,316,2,13,0,123,0,0,0,2021.0
50,GWS Giants,Britt Tully,8,65,36,101,60,1129,6,35,0,419,1,0,6,2021.0
51,Collingwood,Brittany Bonnici,11,173,83,256,103,3423,60,38,0,983,0,2,2,2021.0
52,Gold Coast,Brittany Perry,6,30,24,54,35,619,7,13,0,220,1,4,10,2021.0
53,North Melbourne,Brooke Brown,1,1,2,3,1,-1,0,1,0,11,0,0,0,2021.0
54,Western Bulldogs,Brooke Lochland,9,87,40,127,50,2106,28,27,0,502,1,1,7,2021.0
55,Carlton,Brooke Vernon,2,9,7,16,6,216,1,8,0,72,0,0,0,2021.0
56,Carlton,Brooke Walker,2,10,6,16,6,200,5,1,0,73,2,3,15,2021.0
57,Adelaide,Caitlin Gould,7,26,31,57,37,668,9,16,84,328,2,3,15,2021.0
58,St Kilda,Caitlin Greiser,9,55,7,62,28,1092,23,9,11,348,9,6,60,2021.0
59,Geelong,Carly Remmos,2,4,5,9,7,62,2,7,0,55,0,0,0,2021.0
60,Melbourne,Casey Sherriff,11,80,41,121,63,1822,17,47,0,537,0,2,2,2021.0
61,St Kilda,Cat Phillips,9,69,65,134,50,1527,29,48,0,611,0,0,0,2021.0
62,Brisbane,Cathy Svarc,11,64,47,111,77,2172,10,79,0,608,1,3,9,2021.0
63,Western Bulldogs,Celine Moody,9,38,8,46,24,1001,11,13,130,313,0,0,0,2021.0
64,Melbourne,Chantel Emonson,8,46,15,61,18,1064,5,18,0,252,0,0,0,2021.0
65,West Coast,Chantella Perera,8,34,28,62,29,764,13,16,0,235,0,0,0,2021.0
66,Carlton,Charlotte Hammans,3,9,7,16,4,338,1,7,0,67,0,0,0,2021.0
67,Carlton,Charlotte Wilson,8,35,36,71,22,659,27,12,0,300,0,0,0,2021.0
68,Adelaide,Chelsea Biddell,4,11,9,20,8,286,3,3,3,75,1,0,6,2021.0
69,Adelaide,Chelsea Randall,9,68,43,111,63,1851,25,22,0,470,6,2,38,2021.0
70,Gold Coast,Cheyenne Hammond,8,49,19,68,33,952,12,19,0,296,0,0,0,2021.0
71,Collingwood,Chloe Molloy,11,66,28,94,44,1591,27,12,0,457,16,6,102,2021.0
72,Adelaide,Chloe Scheer,9,49,53,102,60,1387,19,21,0,417,5,4,34,2021.0
73,Richmond,Christina Bernardi,6,29,11,40,19,672,9,21,0,228,4,1,25,2021.0
74,St Kilda,Claudia Whitfort,7,29,46,75,48,735,3,14,0,249,2,1,13,2021.0
75,GWS Giants,Cora Staunton,9,64,29,93,42,1841,18,18,0,418,10,10,70,2021.0
76,West Coast,Courtney Guard,8,31,30,61,27,712,7,11,0,194,0,0,0,2021.0
77,Brisbane,Courtney Hodder,11,55,30,85,55,1108,7,59,0,530,9,8,62,2021.0
78,Richmond,Courtney Wakefield,9,49,18,67,34,620,23,26,5,419,10,6,66,2021.0
79,North Melbourne,Daisy Bateman,10,38,44,82,36,639,23,14,0,367,8,1,49,2021.0
80,Gold Coast,Daisy D'Arcy,9,33,33,66,37,888,10,37,0,323,0,1,1,2021.0
81,Melbourne,Daisy Pearce,9,67,22,89,44,1247,17,25,0,399,3,4,22,2021.0
82,Carlton,Daisy Walker,6,21,18,39,17,298,5,11,0,146,0,0,0,2021.0
83,Brisbane,Dakota Davidson,11,69,14,83,42,1686,32,27,0,510,16,5,101,2021.0
84,West Coast,Dana Hooker,1,14,5,19,10,395,2,2,0,64,0,0,0,2021.0
85,North Melbourne,Danielle Hardiman,9,57,13,70,19,898,28,10,0,307,0,0,0,2021.0
86,Geelong,Danielle Higgins,9,54,23,77,39,1143,13,27,0,349,1,2,8,2021.0
87,Western Bulldogs,Danielle Marshall,5,13,9,22,13,298,5,14,7,132,0,2,2,2021.0
88,Adelaide,Danielle Ponter,10,63,24,87,34,1522,26,14,1,420,9,8,62,2021.0
89,St Kilda,Darcy Guttridge,9,42,33,75,28,1037,16,17,0,321,4,4,28,2021.0
90,Geelong,Darcy Moloney,6,20,19,39,21,497,3,7,0,125,0,1,1,2021.0
91,Carlton,Darcy Vescio,9,56,26,82,54,1128,28,16,0,460,16,4,100,2021.0
92,North Melbourne,Daria Bannister,10,37,23,60,38,905,15,11,0,270,6,7,43,2021.0
93,Adelaide,Dayna Cox,3,11,11,22,14,216,4,8,0,99,0,0,0,2021.0
94,Western Bulldogs,Deanna Berry,5,27,17,44,29,775,9,19,0,213,0,1,1,2021.0
95,Gold Coast,Dee Heslop,9,37,18,55,26,993,9,17,0,225,0,0,0,2021.0
