,Team,Player,Games,Kicks,Handballs,Disposals,Contested Possessions,Metres Gained,Marks,Tackles,Hitouts,Fantasy,Goals,Behinds,Score,Year
96,West Coast,Demi Liddle,4,3,7,10,6,96,1,7,0,46,0,0,0,2021.0
97,Geelong,Denby Taylor,8,35,25,60,32,777,10,20,0,268,0,1,1,2021.0
98,Adelaide,Deni Varnhagen,6,35,24,59,27,926,10,15,0,230,0,0,0,2021.0
99,Fremantle,Ebony Antonio,10,88,36,124,57,2259,37,39,0,599,1,4,10,2021.0
100,Adelaide,Ebony Marinoff,11,189,69,258,131,4246,20,74,0,1046,1,2,8,2021.0
101,Collingwood,Ebony O'Dea,10,29,48,77,35,632,9,26,0,283,0,0,0,2021.0
102,Melbourne,Eden Zanker,11,94,55,149,75,2495,33,31,24,627,2,8,20,2021.0
103,Western Bulldogs,Eleanor Brown,9,71,28,99,59,1538,28,41,0,493,0,0,0,2021.0
104,Western Bulldogs,Elisabeth Georgostathis,9,47,39,86,48,1034,14,40,0,384,1,0,6,2021.0
105,Carlton,Elise O'Dea,9,67,55,122,50,1729,20,30,2,491,3,2,20,2021.0
106,Melbourne,Eliza McNamara,11,90,28,118,48,1857,16,30,0,492,2,2,14,2021.0
107,Gold Coast,Elizabeth Keaney,9,67,21,88,50,1351,14,33,0,393,0,0,0,2021.0
108,GWS Giants,Elle Bennetts,9,68,65,133,50,1769,28,16,0,483,2,2,14,2021.0
109,Western Bulldogs,Ellie Blackburn,9,124,52,176,85,3184,35,47,0,786,5,4,34,2021.0
110,North Melbourne,Ellie Gavalas,10,88,64,152,66,1981,14,35,0,582,4,1,25,2021.0
111,Gold Coast,Ellie Hampson,1,5,4,9,3,108,0,3,0,33,0,0,0,2021.0
112,Richmond,Ellie McKenzie,9,70,70,140,77,1946,27,26,1,559,4,4,28,2021.0
113,Western Bulldogs,Ellyse Gamble,8,20,21,41,30,481,6,15,1,172,0,0,0,2021.0
114,Adelaide,Eloise Jones,10,64,25,89,38,1632,22,22,0,369,5,2,32,2021.0
115,Brisbane,Emily Bates,11,95,79,174,86,2242,26,43,0,666,1,1,7,2021.0
116,GWS Giants,Emily Goodsir,9,42,53,95,60,1124,10,31,0,355,0,1,1,2021.0
117,North Melbourne,Emma Kearney,10,118,90,208,94,3115,28,46,0,804,4,3,27,2021.0
118,North Melbourne,Emma King,10,41,27,68,44,898,22,20,194,529,6,4,40,2021.0
119,Fremantle,Emma O'Driscoll,10,42,28,70,44,1039,8,18,0,271,0,2,2,2021.0
120,Gold Coast,Emma Pittman,2,13,2,15,6,300,2,6,0,71,0,0,0,2021.0
121,West Coast,Emma Swanson,7,69,47,116,53,1694,19,32,0,458,0,0,0,2021.0
122,Brisbane,Emma Zielke,11,66,37,103,42,1212,14,17,0,374,0,0,0,2021.0
123,Collingwood,Erica Fowler,10,37,20,57,29,1020,12,25,17,276,0,1,1,2021.0
124,GWS Giants,Erin Lorenzini,2,5,6,11,7,184,2,1,0,29,0,0,0,2021.0
125,GWS Giants,Erin McKinnon,9,12,15,27,18,265,2,20,176,328,1,0,6,2021.0
126,Adelaide,Erin Phillips,11,128,54,182,99,2921,50,24,1,829,14,9,93,2021.0
127,Fremantle,Evangeline Gooch,3,14,5,19,8,352,3,5,0,77,0,0,0,2021.0
128,Western Bulldogs,Gabby Newton,9,45,34,79,39,850,17,34,0,386,0,0,0,2021.0
129,Fremantle,Gabby O'Sullivan,10,63,28,91,48,1584,28,31,0,473,5,7,37,2021.0
130,Richmond,Gabby Seymour,9,53,50,103,55,1136,23,20,128,515,1,1,7,2021.0
131,Carlton,Gabriella Pound,7,71,22,93,26,1482,12,14,0,355,1,0,6,2021.0
132,Melbourne,Gabrielle Colvin,11,28,22,50,29,542,11,27,0,249,0,0,0,2021.0
133,Fremantle,Gemma Houghton,10,73,35,108,49,1805,27,26,9,562,15,8,98,2021.0
134,Western Bulldogs,Gemma Lagioia,4,18,9,27,8,320,8,2,0,100,0,0,0,2021.0
135,Gold Coast,Georgia Bevan,3,9,7,16,10,158,0,4,0,50,0,0,0,2021.0
136,Geelong,Georgia Clarke,3,8,11,19,13,197,4,1,0,56,1,0,6,2021.0
137,GWS Giants,Georgia Garnett,7,46,28,74,30,949,17,15,0,302,0,0,0,2021.0
138,Carlton,Georgia Gee,9,54,41,95,43,901,17,24,0,412,4,3,27,2021.0
139,North Melbourne,Georgia Hammond,1,2,1,3,2,46,0,1,0,19,1,0,6,2021.0
140,St Kilda,Georgia Patrikios,9,130,85,215,69,3221,23,44,0,810,2,3,15,2021.0
141,Geelong,Georgie Rankin,8,43,29,72,24,880,19,19,0,310,1,0,6,2021.0
142,North Melbourne,Grace Campbell,8,39,36,75,42,774,14,35,0,357,2,3,15,2021.0
143,Carlton,Grace Egan,9,75,75,150,71,1662,15,36,1,536,0,0,0,2021.0
144,West Coast,Grace Kelly,9,69,26,95,33,1598,12,19,1,398,7,3,45,2021.0
145,Brisbane,Greta Bodey,11,71,62,133,66,1843,16,38,0,592,9,6,60,2021.0
146,GWS Giants,Haneen Zreika,9,38,50,88,50,904,11,29,0,374,2,2,14,2021.0
147,Richmond,Hannah Burchell,8,47,28,75,21,1208,21,14,0,294,0,1,1,2021.0
148,Adelaide,Hannah Button,10,50,19,69,43,1070,7,59,0,439,1,2,8,2021.0
149,Gold Coast,Hannah Dunn,9,52,46,98,49,784,18,37,0,423,0,1,1,2021.0
150,Adelaide,Hannah Munyard,3,8,10,18,7,234,3,7,0,70,0,0,0,2021.0
151,St Kilda,Hannah Priest,9,73,49,122,52,1265,33,39,0,565,0,0,0,2021.0
152,Western Bulldogs,Hannah Scott,5,32,7,39,15,808,7,11,0,175,0,0,0,2021.0
153,Richmond,Harriet Cordner,9,69,42,111,44,1478,36,26,0,485,0,0,0,2021.0
154,West Coast,Hayley Bullas,9,44,34,78,53,665,7,38,0,344,0,1,1,2021.0
155,Fremantle,Hayley Miller,10,88,46,134,92,2153,18,55,0,638,1,5,11,2021.0
156,Richmond,Iilish Ross,9,29,29,58,30,854,3,13,0,180,0,0,0,2021.0
157,West Coast,Imahra Cameron,8,28,11,39,21,530,7,17,0,224,6,4,40,2021.0
158,Brisbane,Indy Tahau,8,39,12,51,35,727,16,15,0,238,0,0,0,2021.0
159,Brisbane,Isabel Dawes,11,63,80,143,75,1462,19,44,0,583,3,1,19,2021.0
160,Western Bulldogs,Isabel Huntington,9,52,27,79,49,1258,40,6,0,425,12,9,81,2021.0
161,North Melbourne,Isabella Eddey,10,19,33,52,23,287,9,13,0,207,3,0,18,2021.0
162,Western Bulldogs,Isabella Grant,2,9,4,13,7,183,1,3,0,45,0,0,0,2021.0
163,West Coast,Isabella Lewis,9,71,47,118,56,1789,16,43,0,493,0,2,2,2021.0
164,St Kilda,Isabella Shannon,7,24,13,37,14,530,12,14,1,181,1,0,6,2021.0
165,Western Bulldogs,Isabelle Pritchard,4,14,20,34,24,357,6,9,0,130,0,1,1,2021.0
166,Melbourne,Jacqueline Parry,11,48,55,103,54,942,25,27,0,448,4,5,29,2021.0
167,St Kilda,Jacqui Vogt,8,32,11,43,22,806,11,24,0,256,3,3,21,2021.0
168,Brisbane,Jade Ellenger,11,50,39,89,32,1389,22,21,0,384,1,0,6,2021.0
169,Gold Coast,Jade Pregelj,9,64,17,81,53,1471,20,20,0,341,0,0,0,2021.0
170,Collingwood,Jaimee Lambert,11,124,91,215,107,2563,25,48,0,843,4,3,27,2021.0
171,Gold Coast,Jamie Stanton,6,55,20,75,44,1271,12,24,0,357,3,5,23,2021.0
172,Fremantle,Janelle Cuthbertson,10,75,13,88,51,1421,27,12,0,366,0,0,0,2021.0
173,Gold Coast,Janet Baird,2,5,3,8,5,54,1,3,0,34,0,0,0,2021.0
174,Fremantle,Jasmin Stewart,10,52,27,79,40,1413,14,24,0,362,2,3,15,2021.0
175,North Melbourne,Jasmine Garner,10,134,73,207,119,2871,46,54,0,948,9,6,60,2021.0
176,North Melbourne,Jasmine Grierson,6,38,16,54,16,357,19,4,0,218,0,0,0,2021.0
177,St Kilda,Jayde van Dyk,9,64,28,92,41,1054,19,17,0,372,0,0,0,2021.0
178,North Melbourne,Jenna Bruton,9,89,74,163,81,1991,32,32,0,618,0,0,0,2021.0
179,North Melbourne,Jess Duffin,6,58,23,81,20,1196,19,6,0,299,0,0,0,2021.0
180,Western Bulldogs,Jess Fitzgerald,9,47,44,91,46,1766,13,37,0,442,5,6,36,2021.0
181,Carlton,Jess Hosking,9,62,56,118,49,1761,25,30,0,474,1,1,7,2021.0
182,Brisbane,Jess Wuetschner,7,35,17,52,27,742,16,15,0,281,6,6,42,2021.0
183,Brisbane,Jesse Wardlaw,11,48,33,81,42,1107,27,18,23,399,6,3,39,2021.0
184,GWS Giants,Jessica Allan,8,17,25,42,24,513,7,6,120,253,0,0,0,2021.0
185,GWS Giants,Jessica Dal Pos,9,51,28,79,35,883,10,12,0,276,1,2,8,2021.0
186,Carlton,Jessica Edwards,2,8,16,24,10,168,3,3,0,69,0,0,0,2021.0
187,St Kilda,Jessica Matin,3,15,5,20,9,285,5,3,0,112,4,1,25,2021.0
188,Adelaide,Jessica Sedunary,2,5,3,8,3,87,1,6,0,49,1,0,6,2021.0
189,Collingwood,Joanna Lin,9,29,24,53,25,736,8,12,0,218,3,1,19,2021.0
190,GWS Giants,Jodie Hicks,4,15,12,27,14,304,4,9,0,105,0,2,2,2021.0
191,Geelong,Jordan Ivey,8,56,13,69,24,1349,14,25,0,322,0,1,1,2021.0
192,Collingwood,Jordan Membrey,3,11,6,17,6,178,8,2,0,85,1,0,6,2021.0
193,Brisbane,Jordan Zanchetta,2,10,5,15,7,145,3,6,0,69,0,0,0,2021.0
194,Gold Coast,Jordann Hickey,2,5,1,6,1,71,2,3,0,29,0,0,0,2021.0
195,Collingwood,Jordyn Allen,6,31,23,54,24,623,15,10,0,215,0,0,0,2021.0
196,Geelong,Julia Crockett-Grills,9,76,30,106,46,1780,10,43,0,476,0,0,0,2021.0
197,Adelaide,Justine Mules,11,54,48,102,50,1437,20,45,0,486,2,2,14,2021.0
198,North Melbourne,Kaitlyn Ashmore,10,105,32,137,44,2335,37,32,0,619,1,8,14,2021.0
199,Gold Coast,Kalinda Howarth,9,82,23,105,51,1940,23,10,0,408,3,3,21,2021.0
200,Fremantle,Kara Antonio,10,74,33,107,55,1483,23,34,0,483,2,2,14,2021.0
201,Melbourne,Karen Paxman,11,166,81,247,94,3738,36,44,0,943,4,6,30,2021.0
202,Richmond,Kate Dempsey,9,81,30,111,23,1715,20,15,0,399,0,0,0,2021.0
203,North Melbourne,Kate Gillespie-Jones,10,52,42,94,36,1110,27,18,10,397,1,3,9,2021.0
204,Melbourne,Kate Hore,10,89,55,144,75,1915,32,24,0,645,12,6,78,2021.0
205,Brisbane,Kate Lutkins,11,98,38,136,50,2334,44,21,0,586,0,0,0,2021.0
206,St Kilda,Kate McCarthy,6,26,8,34,15,702,7,3,0,132,1,2,8,2021.0
207,West Coast,Kate Orme,4,34,11,45,15,733,11,10,0,198,1,0,6,2021.0
208,St Kilda,Kate Shierlaw,9,57,26,83,37,1229,34,12,9,417,6,6,42,2021.0
209,Gold Coast,Kate Surman,9,76,62,138,83,1042,18,31,0,521,2,0,12,2021.0
210,West Coast,Katelyn Pope,6,19,23,42,21,640,1,9,0,142,1,1,7,2021.0
211,GWS Giants,Katherine Smith,5,26,7,33,16,599,11,14,0,182,2,0,12,2021.0
212,Richmond,Katie Brennan,9,88,32,120,59,2324,28,23,2,560,14,7,91,2021.0
213,Carlton,Katie Loynes,7,42,35,77,44,825,6,41,0,367,1,2,8,2021.0
214,Western Bulldogs,Katie Lynch,9,63,20,83,30,1166,28,22,0,376,0,0,0,2021.0
215,Fremantle,Katie-Jayne Grieve,2,13,1,14,9,299,0,8,0,66,0,0,0,2021.0
216,West Coast,Kellie Gibson,9,52,28,80,44,1288,8,30,2,349,0,4,4,2021.0
217,Carlton,Kerryn Harrington,9,83,49,132,45,2286,25,26,0,518,1,0,6,2021.0
218,Fremantle,Kiara Bowers,10,158,53,211,124,3152,25,110,0,1087,2,4,16,2021.0
219,Western Bulldogs,Kim Rennie,6,13,21,34,28,307,8,9,64,204,0,0,0,2021.0
220,Western Bulldogs,Kirsten McLeod,8,43,6,49,18,1163,12,17,0,271,7,2,44,2021.0
221,Western Bulldogs,Kirsty Lamb,9,103,59,162,72,2431,37,54,0,747,2,3,15,2021.0
222,Richmond,Kodi Jacques,9,37,29,66,41,885,7,20,0,256,1,2,8,2021.0
223,Collingwood,Kristy Stratton,3,12,5,17,7,219,2,6,0,78,1,0,6,2021.0
224,Melbourne,Krstel Petrevski,2,3,4,7,5,67,1,4,0,49,2,0,12,2021.0
225,Geelong,Laura Gardiner,3,18,20,38,22,401,3,19,0,172,0,0,0,2021.0
226,Richmond,Laura McClelland,3,17,6,23,14,356,3,3,0,86,0,0,0,2021.0
227,Fremantle,Laura Pugh,10,62,42,104,56,1540,13,33,0,431,0,0,0,2021.0
228,Gold Coast,Lauren Ahrens,9,100,50,150,54,2890,43,21,1,609,0,0,0,2021.0
229,Brisbane,Lauren Arnell,11,91,39,130,47,2165,26,31,0,575,3,4,22,2021.0
230,Gold Coast,Lauren Bella,9,26,32,58,30,685,12,19,190,423,0,0,0,2021.0
231,Carlton,Lauren Brazzale,9,72,13,85,17,2072,25,20,0,411,4,1,25,2021.0
232,Collingwood,Lauren Butler,7,38,32,70,28,707,12,19,0,276,0,0,0,2021.0
233,West Coast,Lauren Gauci,6,26,28,54,27,771,5,9,0,187,0,0,0,2021.0
234,Melbourne,Lauren Magee,7,14,13,27,22,476,1,13,0,112,0,0,0,2021.0
235,Melbourne,Lauren Pearce,11,83,75,158,116,1895,26,19,160,712,2,1,13,2021.0
236,Western Bulldogs,Lauren Spark,1,5,0,5,0,115,2,0,0,12,0,0,0,2021.0
237,Gold Coast,Leah Kaslar,8,25,19,44,27,396,8,16,3,222,3,1,19,2021.0
238,Melbourne,Libby Birch,11,54,18,72,28,1217,9,12,0,266,0,0,0,2021.0
239,GWS Giants,Libby Graham,3,13,6,19,3,209,6,4,0,81,0,0,0,2021.0
240,Melbourne,Lily Mithen,11,138,54,192,75,2940,30,40,0,766,1,1,7,2021.0
241,Brisbane,Lily Postlethwaite,4,11,7,18,8,131,3,5,0,77,0,0,0,2021.0
242,GWS Giants,Lisa Steane,4,9,13,22,11,298,4,13,0,110,0,0,0,2021.0
243,Adelaide,Lisa Whiteley,7,21,24,45,31,379,7,12,0,164,0,0,0,2021.0
244,GWS Giants,Louise Stephenson,7,45,17,62,26,993,15,14,0,259,0,0,0,2021.0
245,Carlton,Lucy McEvoy,7,45,42,87,44,968,15,19,0,354,2,2,14,2021.0
246,Gold Coast,Lucy Single,9,56,33,89,51,1863,10,28,0,347,1,0,6,2021.0
247,Richmond,Luka Lesosky-Hay,1,1,2,3,2,32,1,0,0,7,0,0,0,2021.0
248,Collingwood,Maddie Shevlin,3,23,2,25,10,581,7,7,0,122,0,2,2,2021.0
249,Melbourne,Maddison Gay,9,95,55,150,80,2207,20,46,0,642,2,5,17,2021.0
250,Gold Coast,Maddison Levi,8,43,19,62,42,896,6,46,29,369,3,5,23,2021.0
251,Richmond,Maddy Brancatisano,8,38,56,94,38,1046,14,22,0,344,0,0,0,2021.0
252,West Coast,Maddy Collier,7,59,35,94,38,1277,11,28,0,374,1,1,7,2021.0
253,Carlton,Maddy Guerin,6,47,8,55,28,1566,14,12,0,247,0,0,0,2021.0
254,Geelong,Maddy McMahon,9,43,27,70,35,866,20,19,6,322,0,0,0,2021.0
255,Geelong,Madeleine Boyd,5,19,10,29,21,409,14,8,5,135,1,1,7,2021.0
256,Geelong,Madeline Keryk,9,64,13,77,29,1444,17,24,0,357,0,0,0,2021.0
257,Geelong,Madisen Maguire,2,7,11,18,10,193,1,8,0,75,0,1,1,2021.0
258,Adelaide,Madison Newman,2,8,9,17,7,282,2,3,0,64,1,1,7,2021.0
259,Carlton,Madison Prespakis,8,79,90,169,89,1819,13,33,0,595,4,4,28,2021.0
260,Brisbane,Maria Moloney,1,4,4,8,5,85,2,2,0,36,0,1,1,2021.0
261,Adelaide,Marijana Rajcic,11,66,44,110,38,1298,19,15,0,403,0,0,0,2021.0
262,Fremantle,Matilda Sergeant,10,44,28,72,32,996,14,16,0,280,0,0,0,2021.0
263,Melbourne,Meg Downie,3,16,4,20,10,270,6,8,0,96,0,0,0,2021.0
264,Geelong,Meg McDonald,9,92,39,131,61,1804,28,14,0,487,0,0,0,2021.0
265,Melbourne,Megan Fitzsimon,2,10,6,16,11,124,0,7,0,67,0,0,0,2021.0
266,West Coast,Melissa Caulfield,7,31,26,57,32,979,7,23,0,274,3,1,19,2021.0
267,North Melbourne,Mia King,9,36,52,88,37,808,15,29,0,361,1,1,7,2021.0
268,Collingwood,Mikala Cann,11,49,82,131,59,1030,25,38,0,532,2,2,14,2021.0
269,West Coast,Mikayla Bowen,9,84,65,149,48,2016,35,26,0,606,5,1,31,2021.0
270,Geelong,Millie Brown,3,12,8,20,5,230,8,1,0,77,0,0,0,2021.0
271,Fremantle,Mim Strom,10,26,43,69,38,451,12,32,112,434,0,0,0,2021.0
272,Carlton,Mimi Hill,6,26,48,74,35,815,8,5,0,226,2,0,12,2021.0
273,St Kilda,Molly McDonald,5,39,16,55,22,946,11,12,0,225,1,2,8,2021.0
274,Gold Coast,Molly Ritson,2,6,2,8,2,143,2,3,0,31,0,0,0,2021.0
275,Richmond,Monique Conti,8,86,92,178,114,1972,14,26,0,561,0,2,2,2021.0
276,St Kilda,Nadia von Bertouch,5,24,14,38,11,436,8,10,0,163,0,0,0,2021.0
277,Adelaide,Najwa Allen,11,79,45,124,49,1593,20,23,0,455,0,0,0,2021.0
278,Western Bulldogs,Naomi Ferres,8,44,44,88,42,939,14,17,0,335,0,0,0,2021.0
279,St Kilda,Nat Exon,5,18,18,36,24,303,5,16,0,173,1,1,7,2021.0
280,Brisbane,Nat Grider,10,70,55,125,59,1424,24,35,0,534,0,0,0,2021.0
281,Carlton,Natalie Plane,7,54,17,71,27,1646,13,12,0,294,3,0,18,2021.0
282,Western Bulldogs,Nell Morris-Dalton,5,27,8,35,15,604,13,10,0,172,1,1,7,2021.0
283,West Coast,Niamh Kelly,7,56,31,87,38,1230,15,19,0,355,3,4,22,2021.0
