,Team,Player,Games,Kicks,Handballs,Disposals,Contested Possessions,Metres Gained,Marks,Tackles,Hitouts,Fantasy,Goals,Behinds,Score,Year
223,Brisbane,Lauren Arnell,7,49,31,80,40,1024,16,17,0,337,2,3,15,2020.0
224,Gold Coast,Lauren Bella,7,16,21,37,29,343,6,10,130,262,0,0,0,2020.0
225,Carlton,Lauren Brazzale,7,57,11,68,21,1857,17,17,0,323,2,2,14,2020.0
226,Collingwood,Lauren Butler,7,42,22,64,27,792,17,15,0,266,0,0,0,2020.0
227,Melbourne,Lauren Pearce,2,9,16,25,16,172,3,4,25,109,0,0,0,2020.0
228,Western Bulldogs,Lauren Spark,5,32,12,44,15,570,13,5,0,178,0,0,0,2020.0
229,Richmond,Lauren Tesoriero,4,9,12,21,11,133,3,9,0,86,0,0,0,2020.0
230,Gold Coast,Leah Kaslar,7,29,35,64,45,609,11,22,5,282,0,3,3,2020.0
231,Fremantle,Leah Mascall,6,22,24,46,29,577,6,16,0,193,0,0,0,2020.0
232,Melbourne,Libby Birch,7,68,17,85,28,1173,25,11,0,367,0,0,0,2020.0
233,Melbourne,Lily Mithen,3,26,10,36,16,375,11,4,0,154,2,0,12,2020.0
234,Brisbane,Lily Postlethwaite,7,34,13,47,23,582,13,18,0,233,1,0,6,2020.0
235,Fremantle,Lindal Rohde,5,24,8,32,14,399,6,4,0,122,0,0,0,2020.0
236,GWS Giants,Lisa Steane,6,35,26,61,21,877,13,12,0,239,0,0,0,2020.0
237,GWS Giants,Louise Stephenson,7,37,23,60,27,861,8,15,0,236,0,0,0,2020.0
238,Brisbane,Lucy Bellinger,1,3,0,3,1,86,1,3,0,25,0,0,0,2020.0
239,Carlton,Lucy McEvoy,7,44,47,91,57,1059,13,29,0,399,3,3,21,2020.0
240,Collingwood,Maddie Shevlin,5,26,8,34,12,770,14,6,0,159,0,1,1,2020.0
241,Melbourne,Maddison Gay,7,52,38,90,42,1226,12,32,0,404,2,0,12,2020.0
242,Richmond,Maddy Brancatisano,6,12,20,32,15,250,7,7,0,126,0,1,1,2020.0
